dataset,accuracy,algorithm,score,feat_sel,runtime,path,path_ids,criterion,max_depth
football-weak_team-weak_building.csv,71.37,CART,0.8366330476427835,symmetrical uncertainty,0 days 00:00:02.238453,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_building.csv']","['id', 'ft_id', 'id', 'wt_id']",gini,2.0
football-weak_team-weak_building.csv,56.02,ID3,0.8366330476427835,symmetrical uncertainty,0 days 00:00:12.584798,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_building.csv']","['id', 'ft_id', 'id', 'wt_id']",,
football-weak_team-weak_building.csv,69.71,XGBoost,0.8366330476427835,symmetrical uncertainty,0 days 00:00:21.832889,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_building.csv']","['id', 'ft_id', 'id', 'wt_id']",,1.0
football-strong_team.csv,81.43,CART,0.29452784030745927,information-gain,0 days 00:00:01.023950,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv']","['id', 'ft_id']",entropy,3.0
football-strong_team.csv,60.76,ID3,0.29452784030745927,information-gain,0 days 00:00:07.100381,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv']","['id', 'ft_id']",,
football-strong_team.csv,82.7,XGBoost,0.29452784030745927,information-gain,0 days 00:00:11.148212,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv']","['id', 'ft_id']",,1.0
football-weak_team-weak_building.csv,71.37,CART,0.32175699015077375,gini-index,0 days 00:00:01.084703,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_building.csv']","['id', 'ft_id', 'id', 'wt_id']",gini,2.0
football-weak_team-weak_building.csv,56.02,ID3,0.32175699015077375,gini-index,0 days 00:00:12.917173,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_building.csv']","['id', 'ft_id', 'id', 'wt_id']",,
football-weak_team-weak_building.csv,69.71,XGBoost,0.32175699015077375,gini-index,0 days 00:00:20.729274,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_building.csv']","['id', 'ft_id', 'id', 'wt_id']",,1.0
football-weak_team-weak_strategy-weak_change_creation.csv,68.85,CART,0.4559930664846068,spearman-correlation,0 days 00:00:01.643399,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_strategy.csv', 'other-data/decision-trees-split/football/weak_change_creation.csv']","['id', 'ft_id', 'id', 'wt_id', 'id', 'ws_id']",entropy,1.0
football-weak_team-weak_strategy-weak_change_creation.csv,58.2,ID3,0.4559930664846068,spearman-correlation,0 days 00:00:22.352298,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_strategy.csv', 'other-data/decision-trees-split/football/weak_change_creation.csv']","['id', 'ft_id', 'id', 'wt_id', 'id', 'ws_id']",,
football-weak_team-weak_strategy-weak_change_creation.csv,67.62,XGBoost,0.4559930664846068,spearman-correlation,0 days 00:00:42.351302,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/weak_team.csv', 'other-data/decision-trees-split/football/weak_strategy.csv', 'other-data/decision-trees-split/football/weak_change_creation.csv']","['id', 'ft_id', 'id', 'wt_id', 'id', 'ws_id']",,1.0
football-strong_team.csv,81.43,CART,0.06297548605240913,reliefF,0 days 00:02:05.881946,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv']","['id', 'ft_id']",entropy,3.0
football-strong_team.csv,60.76,ID3,0.06297548605240913,reliefF,0 days 00:02:12.877223,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv']","['id', 'ft_id']",,
football-strong_team.csv,82.7,XGBoost,0.06297548605240913,reliefF,0 days 00:02:16.363801,"['other-data/decision-trees-split/football/football.csv', 'other-data/decision-trees-split/football/strong_team.csv']","['id', 'ft_id']",,1.0
kidney_disease-blood_analysis.csv,95.0,CART,0.7582888918796079,symmetrical uncertainty,0 days 00:00:00.567569,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv']","['id', 'kd_id']",gini,4.0
kidney_disease-blood_analysis.csv,58.75,ID3,0.7582888918796079,symmetrical uncertainty,0 days 00:00:03.413675,"['other-data/decision-trees-split/kidney-disease/kidney_disease.csv', 'other-data/decision-trees-split/kidney-disease/blood_analysis.csv']","['id', 'kd_id']",,
