paper_id,word_cited_id
100157,word1163
100157,word1509
100157,word1614
100157,word1642
100157,word1663
100157,word1798
100157,word1843
100157,word1989
100157,word2026
100157,word216
100157,word2400
100157,word2457
100157,word2522
100157,word2598
100157,word2619
100157,word262
100157,word2642
100157,word2903
100157,word3017
100157,word3051
100157,word3164
100157,word3269
100157,word3273
100157,word3288
100157,word3412
100157,word3448
100157,word3670
100157,word37
100157,word47
100157,word566
100157,word66
100598,word103
100598,word1030
100598,word1161
100598,word1330
100598,word148
100598,word1512
100598,word1584
100598,word1606
100598,word169
100598,word1843
100598,word1916
100598,word1988
100598,word2066
100598,word2086
100598,word212
100598,word2217
100598,word2267
100598,word2285
100598,word2375
100598,word2430
100598,word2469
100598,word2475
100598,word2545
100598,word2569
100598,word2571
100598,word2595
100598,word2610
100598,word2700
100598,word2718
100598,word2977
100598,word2978
100598,word32
100598,word3204
100598,word411
100598,word506
100598,word544
100598,word580
100598,word651
100598,word901
100598,word982
101570,word103
101570,word1039
101570,word1055
101570,word1173
101570,word1270
101570,word1277
101570,word132
101570,word1489
101570,word1546
101570,word167
101570,word1707
101570,word1739
101570,word19
101570,word2151
101570,word2345
101570,word2375
101570,word2532
101570,word2564
101570,word2569
101570,word2978
101570,word3005
101570,word3123
101570,word3146
101570,word3404
101570,word3488
101570,word3502
101570,word3555
101570,word3615
101570,word602
101570,word614
101570,word740
101570,word809
101570,word88
101570,word945
10227,word1262
10227,word1266
10227,word130
10227,word1302
10227,word176
10227,word1843
10227,word1847
10227,word19
10227,word1988
10227,word2238
10227,word2240
10227,word2242
10227,word2264
10227,word2355
10227,word2396
10227,word2690
10227,word2699
10227,word2715
10227,word2953
10227,word3035
10227,word3089
10227,word3135
10227,word3137
10227,word3150
10227,word3360
10227,word3378
10227,word3600
10227,word3633
10227,word494
10227,word564
10227,word614
10227,word866
102637,word1047
102637,word1091
102637,word1099
102637,word1238
102637,word1286
102637,word1612
102637,word1614
102637,word1734
102637,word1768
102637,word1798
102637,word1843
102637,word1884
102637,word19
102637,word1937
102637,word197
102637,word2251
102637,word2311
102637,word2452
102637,word2540
102637,word2577
102637,word2737
102637,word3193
102637,word3232
102637,word3279
102637,word3323
102637,word3371
102637,word3450
102637,word3610
102637,word3633
102637,word54
102637,word566
102637,word620
102637,word746
102637,word817
102637,word825
102637,word858
102637,word958
102637,word990
103027,word115
103027,word1178
103027,word1583
103027,word170
103027,word1738
103027,word2
103027,word2124
103027,word2144
103027,word2173
103027,word2217
103027,word2311
103027,word2430
103027,word2458
103027,word248
103027,word2540
103027,word2569
103027,word2605
103027,word287
103027,word3191
103027,word328
103027,word3565
103027,word59
103027,word66
103027,word76
103027,word832
103027,word866
103027,word918
103027,word979
104045,word1240
104045,word1245
104045,word1246
104045,word1303
104045,word1362
104045,word1549
104045,word1561
104045,word1569
104045,word1612
104045,word1619
104045,word187
104045,word1894
104045,word19
104045,word1937
104045,word1938
104045,word2011
104045,word2277
104045,word2526
104045,word2719
104045,word2742
104045,word2869
104045,word2931
104045,word3018
104045,word3347
104045,word3391
104045,word3404
104045,word3448
104045,word548
104045,word620
104045,word732
104045,word798
104045,word799
104045,word815
104129,word1030
104129,word1071
104129,word1192
104129,word148
104129,word1556
104129,word1624
104129,word1636
104129,word1720
104129,word1726
104129,word19
104129,word2246
104129,word2344
104129,word2461
104129,word2476
104129,word2522
104129,word2539
104129,word2540
104129,word2569
104129,word2642
104129,word2742
104129,word2751
104129,word2753
104129,word2820
104129,word2964
104129,word3051
104129,word3056
104129,word3176
104129,word33
104129,word3325
104129,word3335
104129,word3346
104129,word3404
