weak_cc_crossing,weak_cc_passing,weak_cc_shooting,weak_cc_positioning,ws_id,id
70,70,70,Organised,88982,607510
65,65,65,Organised,75650,531192
55,65,60,Organised,62548,84241
50,70,30,Organised,79932,148409
37,59,70,Organised,31802,692727
60,50,70,Organised,59114,499512
45,70,70,Organised,58506,293812
70,70,70,Organised,59060,970462
45,30,40,Free Form,98367,865398
65,60,65,Organised,88690,354982
40,45,70,Organised,48402,200765
70,50,70,Organised,14772,840083
65,67,70,Organised,52382,998428
60,65,70,Organised,26903,300810
45,65,70,Organised,12626,26279
65,65,70,Organised,22757,980272
65,65,65,Organised,19129,260168
65,70,65,Organised,13683,710154
65,45,70,Organised,1509,846288
70,70,70,Organised,24560,515716
55,65,65,Organised,21875,250478
60,65,70,Organised,55473,172750
40,65,70,Organised,15511,172609
45,30,40,Free Form,32135,668643
55,65,65,Organised,61804,878934
65,70,70,Organised,25083,399851
60,50,70,Organised,12384,419426
55,50,60,Organised,82497,440313
70,65,70,Organised,2773,887850
45,30,40,Free Form,92485,396500
50,50,50,Organised,65847,756403
45,70,70,Organised,14146,355311
40,65,70,Organised,34534,418038
70,50,70,Organised,23022,748390
55,65,65,Organised,89125,166625
65,65,70,Organised,72784,659405
40,45,70,Organised,51784,214862
70,70,70,Organised,44529,53975
45,30,40,Free Form,65376,823720
60,50,70,Organised,77450,236958
60,65,70,Organised,99430,348344
65,67,70,Organised,74411,109882
65,60,65,Organised,55208,47083
60,65,70,Organised,50260,106000
70,60,70,Free Form,1999,372589
45,30,40,Free Form,15848,638063
65,65,70,Organised,34643,278836
60,70,70,Organised,92943,266281
40,65,70,Organised,45790,312825
50,50,50,Organised,24901,454750
60,65,70,Organised,22223,656537
65,67,70,Organised,16066,612697
65,65,70,Organised,44938,250223
55,65,65,Organised,75689,270779
65,55,70,Organised,23860,360267
50,50,50,Organised,90783,763005
70,70,70,Organised,15471,337556
70,30,30,Organised,95067,849251
55,65,65,Organised,70995,104531
60,65,70,Organised,96881,684962
65,55,70,Organised,108576,240752
45,70,70,Organised,12439,164249
70,70,70,Organised,30189,700630
70,70,70,Free Form,72966,772279
65,65,70,Organised,60524,340337
55,65,65,Organised,45916,161553
37,59,70,Organised,14695,567018
70,70,70,Free Form,38228,501276
70,70,66,Organised,3623,129608
37,59,70,Organised,85723,440387
40,65,70,Organised,58539,463308
70,60,70,Free Form,22999,528806
37,59,70,Organised,78544,220134
70,60,70,Free Form,85618,213611
70,70,66,Organised,11554,685746
45,30,40,Free Form,27210,599001
65,65,65,Organised,67613,63360
50,50,50,Organised,50547,262567
60,50,70,Organised,103156,888498
55,50,60,Organised,79285,747039
70,70,70,Organised,33155,541226
55,65,65,Organised,96528,173448
70,50,70,Organised,75325,511920
65,60,65,Organised,104213,624997
65,70,65,Organised,57868,427153
65,55,70,Organised,90478,799543
70,50,70,Organised,23959,365094
70,65,70,Organised,35309,735330
70,65,70,Organised,73927,287946
55,65,60,Organised,18692,690621
65,70,65,Organised,8948,689747
65,55,70,Organised,96956,53635
60,50,70,Organised,51363,225230
