V2,V4,V10,l_id,index
50,270944,108,238,645
651,2538108,123,13293,36577
835,1553931,125,3390,47796
860,369415,126,14214,16973
1306,498335,126,3240,34306
441,100337,127,13551,17974
446,138883,199,11575,42478
200,210956,172,17344,86691
343,429253,148,16576,46828
90,779308,143,18988,95005
118,813500,143,4124,21152
515,106668,119,5513,4266
58,179312,158,14449,40548
590,230704,111,19326,17104
466,368208,133,8541,22658
684,491684,134,5064,64296
192,714056,143,6746,84101
104,751132,134,9046,16675
89,844729,126,11085,11757
1613,21376,141,474,75053
28,42717,141,11192,21812
52,86313,134,11283,28788
72,115504,150,7950,75051
92,149083,141,1165,99972
84,184383,148,2605,63194
1372,2128907,111,7196,64986
1372,2356435,118,583,63255
1410,5202324,119,6210,40419
1302,4332815,140,4486,75513
62,4822392,124,12425,82713
837,1874415,132,8885,89894
104,2378236,125,714,21873
168,2891804,119,16164,90216
1338,2691189,111,12919,58746
1274,3874261,119,11510,94452
745,3957839,127,4477,86367
24,304472,125,13228,84661
172,506035,135,16062,19244
10,1701528,100,4466,41046
1629,183711,126,13035,1897
1162,284198,132,5133,94492
1271,1918128,124,7832,8711
1557,19841,124,3630,1995
1590,3884461,116,17224,77715
458,1009999,132,11719,42542
1634,1702491,110,10035,72217
1502,3509731,116,14097,63469
964,3550771,124,10028,28187
1548,43048,100,3509,43232
787,1686891,125,18970,33750
1147,2379129,132,11631,23571
24,2512965,109,3830,76716
20,2845256,109,10904,25462
1599,3826588,108,8602,3130
774,4157620,125,3950,86863
1277,5437060,126,17236,44761
346,5683014,149,15433,35779
1299,1005895,119,19567,60465
1096,1094629,132,1739,86622
1261,718617,123,7098,85706
714,807880,111,5309,88575
1193,238667,132,2285,24890
635,2071956,126,15704,480
1510,893861,118,19892,38721
1161,969911,127,5965,59950
1542,1031599,118,8720,14005
796,1060732,116,6585,93855
40,914661,116,12599,28718
1612,1194814,94,10352,13956
1618,1944138,101,6215,21194
1628,2095507,100,16524,9421
1598,2493675,116,14117,53561
490,11430416,119,3591,74634
1073,237720,93,1810,59925
631,309526,92,10814,26547
453,200567,116,1200,84006
384,519708,143,9436,75226
134,1334443,141,14931,77615
140,2377320,140,1566,33647
1339,514011,133,6453,86266
843,66362,126,19390,69320
816,161984,126,6245,90832
1335,126958,111,9225,8889
95,418215,141,15038,77389
69,33812,97,3486,80739
930,638484,140,2369,23973
837,837888,128,2226,92952
1213,3496125,127,11100,27782
1238,3980769,132,17867,75012
974,4178041,135,15286,24053
333,4383776,132,3077,68788
51,132576,124,5204,64293
172,273387,124,14120,63991
1278,31602,109,5904,100605
1352,106519,109,16594,22035
570,2425716,126,7393,42187
1066,367455,126,1396,5590
787,1044587,125,12463,69537
979,1246717,127,14842,21717
382,2670772,127,4436,44609
1034,2928259,135,7402,63754
1564,3375765,111,11943,61405
193,1280256,126,7075,80509
992,333435,133,10768,75041
1592,562633,108,12918,2743
235,719024,127,19226,36277
1486,1837460,141,7139,6021
1373,2094776,140,1114,20375
1167,2124840,134,1487,5285
1334,1959052,127,9728,37801
1271,552815,126,9686,26641
1258,702405,125,7522,92862
1696,150740,94,6287,31948
1516,188800,125,3969,331
1694,247414,93,16962,83169
1692,297166,95,8851,29390
1694,348257,101,7567,79165
1583,435916,124,5746,52013
766,487588,134,3624,35451
1583,564621,124,15700,23708
1585,689890,126,3762,68951
1589,815504,124,17165,5210
1590,939860,119,15567,23361
1407,1108782,126,1323,18697
13,1137216,125,12411,59706
1590,1208843,125,4327,99236
1611,1594517,127,10396,34336
22,1678232,127,14877,99082
1608,1724129,127,17383,22577
18,1743250,126,5608,77728
1514,1751304,127,18139,10040
1488,1771642,127,7973,52669
1656,1809524,125,15890,1825
1570,1823987,126,19944,21629
931,1120180,124,18175,95388
1558,1511591,133,11263,23621
1256,458941,127,15146,69065
92,3529007,127,8144,5734
386,1063527,127,16946,6728
1142,1421746,134,2724,86319
465,2551201,126,2259,67511
1336,4270218,126,231,60435
183,212188,125,16904,55557
38,2277688,126,18880,97384
399,5427424,135,7662,12170
466,11741833,133,7126,94543
54,12577396,127,16275,97178
308,12725314,126,18889,87726
279,12917094,126,4974,99891
74,12987692,125,18548,4983
26,471281,143,17936,99562
26,786900,143,17889,24734
28,808199,143,16778,78361
26,1377782,151,14039,46896
23,1461302,156,9442,44546
21,1488636,150,6866,38082
24,1620708,156,16335,15335
26,1651909,156,14255,20281
1185,2258662,143,8354,63748
19,21518,132,13690,36993
53,50467,132,13362,34256
51,66578,117,575,1959
205,82319,118,17672,66190
159,102111,140,10754,9310
60,118242,116,13414,63067
182,133829,127,1337,50334
103,149092,135,7698,16831
94,162940,127,3080,30988
17,177387,118,5125,38232
106,190920,125,10581,97434
21,204953,86,16300,93426
15,221142,95,209,38840
24,240390,110,2517,45165
150,254670,126,541,87175
39,274244,132,14486,1420
82,287869,101,941,36412
174,303167,127,19564,71944
168,319317,125,7821,74807
194,334316,134,4879,56977
529,350500,111,1871,79567
37,362736,93,2942,84621
18,374591,84,8971,89725
199,387414,127,19829,10902
156,411717,124,2241,6646
216,425176,143,12725,62308
408,439212,111,12922,28704
42,451079,103,10119,81756
1160,463848,132,10346,5089
272,477082,124,12882,91003
16,494946,84,17243,10518
244,506794,118,17670,53069
380,518272,119,2012,59195
442,530985,116,17964,50812
519,548953,126,5526,66666
121,560445,124,16077,17496
71,573118,118,1464,84383
61,585888,78,4812,46079
415,604528,134,5193,79756
718,618148,111,9571,69794
416,634288,135,13166,8339
142,646749,124,3213,19012
14,677417,93,6249,2700
42,698089,86,15401,64497
32,718521,84,8815,55495
31,751656,78,16696,79781
250,763947,133,12207,97678
139,776424,148,16510,55560
249,791249,133,18114,1653
194,802822,125,16357,38649
37,814627,108,17162,27340
27,830795,79,15023,62523
193,851553,135,3700,75497
143,874545,126,5470,63682
104,897032,133,4815,77793
56,908986,101,7397,21401
275,923211,132,18231,25067
164,936828,132,10324,54052
184,949493,124,10040,12587
92,961728,117,4441,44779
181,973704,135,1321,94110
201,983827,127,18824,80717
167,1009888,140,2898,7959
214,1025473,118,6172,41372
78,1036161,116,14462,51162
193,1048832,141,6723,14170
154,1060313,132,9451,16876
179,1072248,119,5158,39262
534,1082953,141,10125,48691
156,1093492,118,17762,12396
32,1105387,94,6702,36816
222,1116892,124,18413,40935
127,1127927,124,12060,50393
252,1137757,127,1034,47255
63,1148364,85,12502,79204
120,1159132,124,12927,12928
127,1172632,140,8203,5233
1347,1184525,117,15624,48051
82,1196915,109,9138,75603
218,1211795,126,509,90502
486,1226204,141,8563,61224
612,1266548,115,1893,68659
234,1285749,118,1705,68604
241,1301945,111,1820,717
24,1312132,71,4927,23483
308,1323745,125,18704,2753
95,1335593,126,10702,70674
512,1347021,125,18961,99633
80,1359820,118,11469,28700
176,1373442,111,10279,76416
146,1385914,113,12447,81196
96,1398914,124,9969,60453
367,1411815,109,6905,41802
71,1427883,117,4366,98666
513,1457776,127,14835,41740
120,1471288,124,2395,32147
370,1483901,117,1209,62405
186,1495883,125,18985,99109
48,1508040,116,8909,39802
126,1536631,120,11555,59124
17,1549891,84,10948,64446
844,1564557,125,848,14375
91,1578129,118,12687,99546
262,1589443,119,6372,89114
124,1602199,143,16405,44493
136,1622718,127,12990,88543
50,1647194,118,5810,45020
236,1658769,124,19440,46441
209,1671110,132,17162,11151
153,1686810,125,8379,70233
521,1699829,133,4252,83822
65,1713184,126,10462,4548
155,1723392,117,18649,3386
75,1736822,125,2836,97030
357,1747660,140,10085,54607
224,1761703,132,15638,54340
58,1772736,135,17223,26360
120,1785930,116,12568,2472
55,1798172,116,3924,62777
76,1810283,117,6058,51939
39,1821917,109,1657,65685
188,1835349,140,1094,64203
93,1846289,118,16936,14870
27,1859633,84,2728,96687
108,1889440,124,14833,31812
205,1901975,135,2731,43898
126,1913646,133,17392,82253
197,1924936,140,9060,53489
56,1939602,110,3032,4772
98,1951299,118,1419,42500
92,1964591,124,12590,12343
37,1978842,119,6103,74103
162,1990031,111,15786,10144
81,2001794,117,6379,61525
88,2012949,101,13566,66964
101,2023150,118,13467,92611
91,2032910,134,11025,55538
48,2044475,109,9232,70749
21,2058016,101,2421,42107
44,2070796,109,7132,49796
90,2082338,117,9911,45024
31,2097270,103,14031,41445
305,2109324,111,1218,92158
120,2126462,132,5004,86249
19,2153410,108,13887,61312
59,2216556,124,13448,19460
29,2280868,101,7230,84421
18,2293946,116,18886,62047
50,2381400,132,4823,9948
53,2409518,110,13389,16952
46,2433721,132,15404,54937
17,2445050,77,8503,76968
36,2457943,117,10183,39237
40,2535292,148,13094,66040
11,2550653,77,2724,64279
38,2563241,111,18355,9923
25,2583780,111,18004,58675
81,2595643,109,19756,76198
23,2632529,109,7854,49459
61,2644097,125,13116,89921
33,2656867,132,7105,28572
40,2669677,126,3189,84998
42,2682435,119,7622,32092
16,2724595,70,9961,2275
52,2787427,126,7521,84513
28,2811821,118,12332,26143
27,2824741,86,9734,47535
32,2837268,110,12121,10224
22,2857900,108,1795,26112
6,2939222,118,2606,67459
1271,750399,125,4774,20165
151,639993,135,2761,32466
125,843837,134,10987,17356
172,909492,135,10456,40266
122,1136924,133,11639,89488
197,1317395,142,9509,63113
230,1346264,140,10137,70991
235,1417288,140,168,84383
230,1566453,141,18374,25006
1201,9033,111,18890,98558
1222,737568,133,17516,87058
1229,840385,133,18969,88343
1214,882712,135,19321,20988
1220,971922,135,15573,38821
1201,1062901,126,4042,54318
1215,1127599,127,9123,42473
1118,1170219,126,4531,96221
1219,1183893,127,9233,86681
1209,1246244,126,14626,33497
474,28553,198,14426,88429
861,31995,207,2071,74286
9,35164,189,15200,88640
824,40195,206,18630,12587
843,48539,221,1968,90818
1069,117724,213,14317,54200
272,125040,212,15482,61591
872,135298,236,18586,19780
585,155593,210,19698,56282
750,177087,207,15840,10208
1097,185588,212,18414,55875
1220,198776,188,17276,13487
865,211993,207,12155,28921
860,222657,205,8580,13599
148,236280,198,8188,23810
723,251880,191,5126,75510
1228,270711,174,13576,92166
1052,365932,189,15334,89014
16,394980,174,6450,75234
878,419973,181,8205,29237
1288,435883,164,10862,89268
961,494461,182,16598,100275
956,508650,181,9389,71157
864,519266,183,13408,94437
934,552388,180,694,1821
930,561842,183,1344,91256
928,578392,182,1053,11960
940,612672,182,2543,32852
942,625675,181,4829,100030
944,639857,182,11851,65630
935,675327,180,1084,2582
907,898715,182,13369,100557
903,908176,175,17154,54499
832,928264,181,12997,19947
793,78276,124,19062,71294
440,795659,119,6849,100595
490,13320,127,10619,93270
515,31058,127,19925,59368
1162,41201,124,18153,37419
504,55568,129,1633,17653
249,64720,126,19729,47834
1333,3149542,103,15338,39453
1638,676657,93,12003,60166
169,4215748,156,19633,11375
230,308712,148,4566,83914
223,333576,148,2488,12340
225,344225,148,3171,17923
436,408170,143,3128,11539
224,418798,143,16542,52812
828,468520,143,6964,3929
222,486291,150,3644,45269
223,500482,143,12715,34629
384,511150,143,3559,35296
218,553733,143,14695,6350
222,564395,143,14804,25065
735,582129,143,12925,24521
222,592819,143,17989,11621
261,653195,150,11628,18390
220,663832,143,8315,30305
456,674482,150,833,34789
734,685134,149,12284,21229
226,695788,148,14803,78741
226,702873,148,17105,42184
216,713531,143,10869,76244
230,830692,142,1495,65796
232,844903,141,18916,2292
222,855569,143,7804,28542
212,862693,142,557,95090
226,876871,143,5610,52237
218,898132,142,8334,95186
907,908829,143,5398,20288
225,919496,142,1753,31022
58,933641,140,7793,11156
167,947878,134,14804,83015
218,965599,141,15266,94452
218,979800,141,17816,89073
222,990473,143,6995,56710
58,997556,134,376,8334
222,1018885,141,10342,14373
210,1029531,141,2951,12456
217,1040199,141,17291,64537
214,1050830,141,15197,99445
215,1150255,143,13748,51269
215,1157378,143,17082,47237
214,1164475,142,14470,71260
214,1175131,141,6299,99530
212,1185752,141,5456,12089
218,1196445,141,13763,41140
74,1207040,135,15362,32453
219,1221276,143,18472,30904
221,1228359,143,19066,50590
214,1242592,142,11519,94439
215,1253240,140,7138,82485
440,1263888,141,1243,9577
214,1278089,141,9133,96862
218,1285196,142,2825,52381
211,1292303,141,1965,37554
212,1299402,143,5471,25617
212,1310041,141,12624,75654
227,1317154,141,2086,93156
68,1327750,135,16766,58833
72,1338402,140,19869,70217
217,1359742,141,12385,16856
224,1370411,141,14030,82558
66,1384579,140,15850,3400
211,1391715,143,14913,83131
208,1402348,141,18232,65970
199,1430780,141,18151,46396
191,1437882,143,15809,71672
194,1448535,141,1790,36978
192,1469845,142,19757,3214
187,1480475,143,7874,67709
196,1494716,143,12531,65150
197,1512467,141,15731,12656
191,1530225,143,18026,82803
191,1540855,141,16664,29803
192,1555056,141,12629,88867
191,1565703,141,2970,33682
200,1576347,141,1631,24096
192,1587011,142,19072,97476
188,1597679,141,15569,51206
191,1611861,141,11868,39531
193,1626076,140,19805,31124
195,1636729,140,7049,22293
192,1647385,141,14622,13311
191,1661593,141,8774,91853
192,1672228,143,178,63520
192,1682891,135,12647,17234
187,1700639,141,7376,90317
194,1711281,141,12582,30512
206,1721968,140,6571,53594
190,1736165,141,12814,28277
190,1800071,140,12603,56189
195,1810727,141,16808,62718
194,1821379,141,16284,3763
192,1832017,141,15550,37201
192,1842677,141,16214,3617
189,1853339,141,9829,3219
195,1864008,143,15743,10757
194,1881746,141,1866,10659
190,1892384,141,10424,53668
193,1903031,141,7747,10065
197,1913670,141,18800,44999
393,1924363,141,201,14026
185,1934989,141,17926,23940
193,1945637,142,10406,9393
197,1959850,141,9348,46138
193,1970509,140,13498,26021
197,2098332,140,7788,11550
187,2112542,140,9690,81037
205,2133849,140,7298,81364
188,2194206,140,4766,54490
194,2204771,135,4234,58131
189,2215404,127,9820,79353
186,2229707,141,17674,53906
195,2240365,142,2093,60484
190,2254463,127,5899,66909
194,2265115,127,13575,28953
196,2290079,141,6898,65238
191,2300643,135,2525,63049
186,2311296,135,10592,23912
187,2322028,140,3803,53375
194,2339797,141,17887,65217
195,2357532,141,3282,66926
193,2368203,140,19882,69029
191,2400148,141,14659,40256
171,2410794,141,3723,54286
199,2421350,127,8634,12520
195,2432111,141,3320,60688
185,2442673,135,7977,60879
185,2460408,134,7804,72179
181,2542072,127,16155,53499
180,2552812,141,18748,6492
181,2563376,127,10782,2729
179,2574054,135,3563,93232
151,2584775,140,17399,44259
154,2595429,140,1646,71509
175,2606006,135,6240,30558
173,2616725,141,18098,65231
178,2627391,140,16840,82212
177,2641500,135,17329,21924
187,2662812,141,16059,90360
192,29611,124,2697,50938
189,47376,133,15200,92343
182,65121,135,5945,90498
165,75777,135,1786,27900
157,86427,135,7250,42512
178,104164,127,12856,32493
184,114815,127,18464,70677
181,125467,127,2688,89770
186,143219,126,14893,66563
161,157529,140,10365,81506
181,168086,135,4195,22714
156,178731,135,16185,4345
178,189384,132,1003,507
183,200030,126,936,14538
181,210681,127,7951,10019
181,239088,125,4522,91086
175,249742,125,15150,73048
174,260396,127,11797,7621
182,271050,126,12221,60489
174,281703,126,3614,46396
184,299460,124,11250,88256
173,310112,125,13331,57368
172,320767,124,11513,51885
174,327870,126,9524,9150
172,334972,126,15582,17234
181,345626,125,5954,33269
184,356279,126,16345,81448
176,366932,126,17218,4825
177,377585,126,12611,50504
180,388236,125,19882,70476
182,398889,125,4085,27431
175,409539,125,16894,14218
185,420189,126,2283,51661
198,430836,127,6978,94362
196,441483,124,6863,26338
194,452142,134,5796,46742
190,462786,133,18318,31544
159,473430,135,11912,7810
194,498252,126,7364,41174
190,508896,126,14573,69826
193,519540,126,4038,2802
166,533745,134,4825,73439
163,544389,134,3581,40163
195,555021,125,13212,74902
196,579857,126,18243,93536
196,590503,125,8651,11495
195,601148,124,10046,93345
190,611792,126,3281,16657
198,622437,125,9802,57415
198,633082,125,2852,33758
194,643725,124,17026,99895
198,686304,124,9816,9047
200,696948,125,6109,35168
193,707593,127,546,60606
200,718237,127,5371,67641
172,728995,140,342,3394
194,743076,126,16066,50426
166,775118,135,2684,48176
190,799848,124,15288,66449
171,899307,135,6131,48500
175,909953,140,4299,1851
202,920489,132,6072,73320
196,931135,127,8937,20762
172,938349,135,3707,34645
214,1413720,124,12613,69278
214,1424367,124,326,65013
209,1435012,125,19209,33052
210,1445656,125,14848,71511
210,1463399,119,18674,4292
218,1474044,125,12118,57339
211,1484688,127,548,90262
218,1495336,119,18733,21731
212,1505982,127,5947,2996
219,1516628,126,17771,25778
214,1527274,133,18576,83986
189,1541574,135,7644,61089
216,1555663,125,13514,73628
213,1566309,124,12514,37775
214,1576955,125,13238,25079
212,1587602,119,14807,42756
215,1601796,126,2738,66182
216,1615991,119,13662,56992
211,1626636,124,15775,69013
213,1637282,127,7617,47542
216,1647927,125,8242,50260
218,1658584,127,9357,11528
216,1669220,126,14808,51406
220,1679864,124,10682,69970
216,1694059,124,550,25184
219,1704704,124,8858,77946
212,1715348,124,7079,55243
192,1729557,133,15846,100675
214,1740188,124,18433,53915
218,1750835,125,1642,29212
218,1761480,124,4307,52388
214,1775675,124,16781,30271
209,1786320,124,18075,884
217,1804079,126,8196,91694
212,1814708,124,18714,5117
217,1825355,126,7956,28501
220,1836000,126,13255,40423
209,1853744,126,2402,75890
181,1868026,135,11291,67525
212,1878584,124,17730,69866
221,1889228,124,14827,68939
216,1903423,126,18574,7727
214,1914070,124,7005,85504
212,1935360,125,6462,24847
216,1946007,126,17148,71123
217,1960200,125,19019,71165
212,1970846,127,5606,17511
218,1981492,126,11428,53619
214,1992137,124,14596,84693
218,2002782,124,5947,14756
192,2013541,140,11191,73401
214,2027621,124,9104,77579
211,2041815,125,12768,11304
211,2052461,124,8119,100238
212,2070204,126,7338,52599
218,2087946,127,7340,97852
218,2098591,127,830,94842
215,2109236,124,78,4456
213,2119881,124,3483,69801
218,2134076,126,1478,74589
197,2166066,130,8818,84443
218,2187305,126,11738,74043
216,2201499,125,3612,32399
211,2212144,124,9757,79173
212,2222791,126,15042,97551
212,2233436,125,12491,96864
212,2244082,124,8158,73373
214,2254729,124,3857,15993
217,2265372,119,11869,75168
219,2276025,127,18024,90451
213,2290212,125,11035,93547
211,2300856,126,19235,60775
189,2315172,135,10391,92261
207,2336344,124,6269,37202
214,2350536,124,13130,13028
211,2364730,127,3903,57486
216,2382472,124,15556,23348
212,2421508,125,2413,54657
210,2449893,127,17905,51178
210,2556352,124,18993,91633
214,2566997,127,3356,75933
209,2598935,126,12002,42412
188,2638062,135,4471,10217
216,2648612,127,2008,60869
216,2662807,124,16861,91963
218,2698294,126,7007,83101
216,2708939,126,5353,90909
212,2730230,125,12870,76617
213,2740889,134,17404,43966
212,2751522,124,6658,68125
180,2765730,132,18250,35690
212,2776362,126,8813,18267
212,2787008,126,17120,61437
216,2797652,127,5496,16407
183,2811861,134,3011,10812
212,2829590,119,9800,74802
218,2840236,124,18186,9419
216,2854430,119,4135,19167
213,2875730,134,3847,78444
214,2886367,124,12902,18394
214,2897015,126,357,79043
216,2943144,124,12082,47865
216,2957336,124,13901,79568
172,2975090,132,1484,73348
216,2985724,127,11065,56977
215,3003466,119,6267,90089
213,4348321,125,7023,24227
221,4358964,124,13219,50503
211,4373158,126,3913,10081
210,4383803,125,19425,368
209,4401544,126,14053,75827
212,4419287,127,17323,69335
210,4440576,125,2725,7965
209,4639275,126,13891,54229
206,4649920,127,17235,72739
211,4703142,125,3851,68664
214,7261658,127,9151,91322
209,7275852,127,675,57481
209,7300696,127,2747,6685
217,7307792,127,15473,79413
210,7318440,127,9103,12670
215,7325536,127,12340,90595
217,7612982,127,19695,99392
202,7655567,127,15264,23970
206,7754931,127,5160,42139
203,7765576,132,6031,6585
213,7783320,127,1360,20032
211,7797516,127,10594,92207
213,7818807,127,659,48094
776,19123,124,3123,94578
226,29792,126,5327,87809
224,40447,124,16564,49744
250,115195,140,10519,20382
871,140094,143,6866,21961
342,55824,95,19453,18950
354,87794,103,10506,18969
345,98450,103,6357,88528
340,109106,108,3938,13886
332,119826,118,8948,10014
346,130421,103,13107,16161
373,3630060,134,6099,58565
370,3658511,135,18367,64687
360,3711800,140,14082,25168
878,2150756,143,4944,95057
438,2887476,134,12763,20156
1027,155262,132,7872,44134
1152,1083344,148,8766,20888
579,1162292,125,7527,50297
1191,1223696,140,9321,76187
960,1260444,149,12275,7595
589,1273556,141,12769,29896
782,1292296,149,6726,7815
981,1311535,143,6450,53436
608,1322076,140,7784,53719
1259,1333079,141,5765,68577
804,1341296,140,17945,63661
1218,1351652,136,3999,71026
408,1361748,142,4889,86412
759,1378588,141,12753,74492
627,1388039,141,7831,61632
625,1398179,126,35,2095
1225,1413276,143,5528,95200
1201,1423996,141,17094,54244
777,1436092,135,19460,43600
430,1444009,132,4735,16350
590,83253,118,15243,97557
856,134992,127,8219,47510
1040,156373,126,9145,28236
1185,171878,135,11979,45627
808,192330,127,8386,81850
521,203200,132,17582,65963
1232,224243,140,14819,15983
861,237731,136,11145,89007
1295,249740,132,13873,62738
813,273912,148,1047,22306
328,294036,135,10918,89936
334,367330,135,15700,74472
624,450383,140,2545,56935
667,483808,132,2614,14339
811,598094,140,6069,35665
482,626956,140,8533,15448
329,679391,140,19467,89624
706,762239,140,2607,59429
1248,796976,141,14152,32334
1202,818589,142,16861,77443
494,847976,141,14028,63070
866,858608,142,12784,93844
771,879265,140,14820,43086
568,888676,141,485,79295
822,899665,141,15492,32334
692,909977,140,13601,45179
980,972388,148,13808,69342
589,983189,142,5044,54949
319,1013647,133,906,35236
302,1028219,132,13536,34287
319,1042410,143,16964,77297
736,1069372,141,18234,15330
307,1095703,134,2225,866
762,1110861,142,1336,67315
309,1156111,134,921,29961
581,1188745,143,11147,100409
1212,1298260,140,16762,39619
319,1458136,135,11245,66204
696,1481148,141,13369,77882
1101,1506531,149,14317,54210
311,1593120,135,9914,82466
493,1622524,140,10869,41108
604,1645548,149,5388,30916
1242,1667036,144,19497,61990
1241,1681985,140,6148,95885
309,1692621,141,4355,3703
1281,1709871,141,3967,65265
1148,1733276,143,11657,23939
309,1738812,134,1347,24527
1128,1789337,150,794,43337
548,1819728,143,2870,3580
1219,1962347,141,18705,73667
