algorithm,data_path,approach,data_label,join_time,total_time,feature_selection_time,depth,accuracy,train_time,feature_importance,join_path_features,cutoff_threshold,redundancy_threshold,rank
LightGBM,housing.csv--AddressToRequest-city_record_online.csv--ExecutedDate-evictions.csv--EndDate-recent_contract_awards.csv--Address-film_permits.csv--ProjectName-capital_projects2.csv--Borough-crime.csv--Borough-pe.csv--Borough-2010_Gen_Ed_Survey_Data.csv,ARDA,nyc,,1724.6643917560577,1722.0578050613403,,0.9270833333333334,2.6065866947174072,"{'housing.csv.Project Name': 0.31466666666666654, 'housing.csv.Project ID': 0.08799999999999994, 'housing.csv.Project Start Date': 0.07499999999999993}","['housing.csv.Project ID', 'housing.csv.Project Name', 'housing.csv.Project Start Date']",,,
RandomForest,housing.csv--AddressToRequest-city_record_online.csv--ExecutedDate-evictions.csv--EndDate-recent_contract_awards.csv--Address-film_permits.csv--ProjectName-capital_projects2.csv--Borough-crime.csv--Borough-pe.csv--Borough-2010_Gen_Ed_Survey_Data.csv,ARDA,nyc,,1723.019991159439,1722.0578050613403,,0.9395833333333333,0.9621860980987549,"{'housing.csv.Project Name': 0.409, 'housing.csv.Project Start Date': 0.05033333333333334, 'housing.csv.Project ID': 0.02999999999999998}","['housing.csv.Project ID', 'housing.csv.Project Name', 'housing.csv.Project Start Date']",,,
ExtraTrees,housing.csv--AddressToRequest-city_record_online.csv--ExecutedDate-evictions.csv--EndDate-recent_contract_awards.csv--Address-film_permits.csv--ProjectName-capital_projects2.csv--Borough-crime.csv--Borough-pe.csv--Borough-2010_Gen_Ed_Survey_Data.csv,ARDA,nyc,,1722.8715541362762,1722.0578050613403,,0.9291666666666667,0.8137490749359131,"{'housing.csv.Project Name': 0.4063333333333333, 'housing.csv.Project Start Date': 0.05566666666666671, 'housing.csv.Project ID': 0.018000000000000037}","['housing.csv.Project ID', 'housing.csv.Project Name', 'housing.csv.Project Start Date']",,,
XGBoost,housing.csv--AddressToRequest-city_record_online.csv--ExecutedDate-evictions.csv--EndDate-recent_contract_awards.csv--Address-film_permits.csv--ProjectName-capital_projects2.csv--Borough-crime.csv--Borough-pe.csv--Borough-2010_Gen_Ed_Survey_Data.csv,ARDA,nyc,,1722.3687121868134,1722.0578050613403,,0.9104166666666667,0.31090712547302246,"{'housing.csv.Project Name': 0.3443333333333334, 'housing.csv.Project ID': 0.10166666666666666, 'housing.csv.Project Start Date': 0.0843333333333333}","['housing.csv.Project ID', 'housing.csv.Project Name', 'housing.csv.Project Start Date']",,,
WeightedEnsemble_L2,housing.csv--AddressToRequest-city_record_online.csv--ExecutedDate-evictions.csv--EndDate-recent_contract_awards.csv--Address-film_permits.csv--ProjectName-capital_projects2.csv--Borough-crime.csv--Borough-pe.csv--Borough-2010_Gen_Ed_Survey_Data.csv,ARDA,nyc,,1722.5460069179535,1722.0578050613403,,0.9416666666666667,0.4882018566131592,"{'housing.csv.Project Name': 0.40766666666666673, 'housing.csv.Project Start Date': 0.05466666666666666, 'housing.csv.Project ID': 0.03333333333333335}","['housing.csv.Project ID', 'housing.csv.Project Name', 'housing.csv.Project Start Date']",,,
LightGBM,base.csv--DBN-Schools_Progress_Report_2012-2013.csv--DBN-2010_Gen_Ed_Survey_Data.csv--DBN-crime.csv--DBN-math.csv--DBN-qr.csv--DBN-disc.csv--DBN-pe.csv--DBN-esl.csv--DBN-oss.csv--DBN-s2tr.csv--TotalStudentResponseRate(%)-2013_NYC_School_Survey.csv--DBN-sat.csv--DBN-gender.csv--DBN-yabc.csv--DBN-transfer.csv--DBN-ap.csv,ARDA,school,,678.2290270328522,677.8584849834442,,0.823943661971831,0.370542049407959,"{'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT GRADE': 0.10929577464788738, 'base.csv.Total Teacher Response Rate (%)': 0.023661971830985996, '2010_Gen_Ed_Survey_Data.csv.saf_tot_10': 0.014084507042253547, 'base.csv.Total Parent Response Rate (%)': 0.006197183098591563, '2010_Gen_Ed_Survey_Data.csv.nr_s': 0.006197183098591563, '2010_Gen_Ed_Survey_Data.csv.nr_p': 0.0050704225352112605, 'Schools_Progress_Report_2012-2013.csv.SCHOOL LEVEL*': 0.0039436619718309805, 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT CATEGORY SCORE': 0.0028169014084507005, '2010_Gen_Ed_Survey_Data.csv.enrollment': 0.0005633802816901401, '2010_Gen_Ed_Survey_Data.csv.p_q8e_5': 0.0, '2010_Gen_Ed_Survey_Data.csv.com_tot_10': 0.0, '2010_Gen_Ed_Survey_Data.csv.p_q8f_5': 0.0, '2010_Gen_Ed_Survey_Data.csv.p_q8a_4': -0.0011267605633802802, '2010_Gen_Ed_Survey_Data.csv.N_s': -0.0022535211267605605, '2010_Gen_Ed_Survey_Data.csv.p_q8f_2': -0.0028169014084507005, '2010_Gen_Ed_Survey_Data.csv.aca_t_10': -0.0028169014084507005, '2010_Gen_Ed_Survey_Data.csv.aca_tot_10': -0.0033802816901408405, '2010_Gen_Ed_Survey_Data.csv.eng_tot_10': -0.0039436619718309805, '2010_Gen_Ed_Survey_Data.csv.p_q7b_2': -0.0039436619718309805, '2010_Gen_Ed_Survey_Data.csv.saf_t_10': -0.005633802816901401, '2010_Gen_Ed_Survey_Data.csv.saf_s_10': -0.006197183098591541, '2010_Gen_Ed_Survey_Data.csv.p_q7a_2': -0.006760563380281681, '2010_Gen_Ed_Survey_Data.csv.eng_t_10': -0.012394366197183083}","['base.csv.Total Parent Response Rate (%)', 'base.csv.Total Teacher Response Rate (%)', 'Schools_Progress_Report_2012-2013.csv.SCHOOL LEVEL*', 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT CATEGORY SCORE', 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT GRADE', '2010_Gen_Ed_Survey_Data.csv.enrollment', '2010_Gen_Ed_Survey_Data.csv.N_s', '2010_Gen_Ed_Survey_Data.csv.nr_s', '2010_Gen_Ed_Survey_Data.csv.nr_p', '2010_Gen_Ed_Survey_Data.csv.saf_t_10', '2010_Gen_Ed_Survey_Data.csv.eng_t_10', '2010_Gen_Ed_Survey_Data.csv.aca_t_10', '2010_Gen_Ed_Survey_Data.csv.saf_s_10', '2010_Gen_Ed_Survey_Data.csv.saf_tot_10', '2010_Gen_Ed_Survey_Data.csv.com_tot_10', '2010_Gen_Ed_Survey_Data.csv.eng_tot_10', '2010_Gen_Ed_Survey_Data.csv.aca_tot_10', '2010_Gen_Ed_Survey_Data.csv.p_q7a_2', '2010_Gen_Ed_Survey_Data.csv.p_q7b_2', '2010_Gen_Ed_Survey_Data.csv.p_q8a_4', '2010_Gen_Ed_Survey_Data.csv.p_q8e_5', '2010_Gen_Ed_Survey_Data.csv.p_q8f_2', '2010_Gen_Ed_Survey_Data.csv.p_q8f_5']",,,
RandomForest,base.csv--DBN-Schools_Progress_Report_2012-2013.csv--DBN-2010_Gen_Ed_Survey_Data.csv--DBN-crime.csv--DBN-math.csv--DBN-qr.csv--DBN-disc.csv--DBN-pe.csv--DBN-esl.csv--DBN-oss.csv--DBN-s2tr.csv--TotalStudentResponseRate(%)-2013_NYC_School_Survey.csv--DBN-sat.csv--DBN-gender.csv--DBN-yabc.csv--DBN-transfer.csv--DBN-ap.csv,ARDA,school,,678.6553230285645,677.8584849834442,,0.8028169014084507,0.7968380451202393,"{'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT GRADE': 0.09070422535211267, 'base.csv.Total Teacher Response Rate (%)': 0.011830985915492942, '2010_Gen_Ed_Survey_Data.csv.eng_tot_10': 0.0050704225352112605, 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT CATEGORY SCORE': 0.0039436619718309805, '2010_Gen_Ed_Survey_Data.csv.nr_p': 0.0039436619718309805, '2010_Gen_Ed_Survey_Data.csv.p_q8a_4': 0.0033802816901408405, '2010_Gen_Ed_Survey_Data.csv.p_q7a_2': 0.0033802816901408405, '2010_Gen_Ed_Survey_Data.csv.saf_s_10': 0.0033802816901408405, '2010_Gen_Ed_Survey_Data.csv.p_q8f_2': 0.0022535211267605605, '2010_Gen_Ed_Survey_Data.csv.enrollment': 0.0022535211267605605, '2010_Gen_Ed_Survey_Data.csv.N_s': 0.0016901408450704202, '2010_Gen_Ed_Survey_Data.csv.nr_s': 0.0016901408450704202, '2010_Gen_Ed_Survey_Data.csv.p_q8f_5': 0.0005633802816901401, '2010_Gen_Ed_Survey_Data.csv.aca_t_10': 0.0, '2010_Gen_Ed_Survey_Data.csv.p_q8e_5': -0.0016901408450704202, '2010_Gen_Ed_Survey_Data.csv.com_tot_10': -0.0022535211267605605, '2010_Gen_Ed_Survey_Data.csv.aca_tot_10': -0.0022535211267605605, '2010_Gen_Ed_Survey_Data.csv.saf_t_10': -0.0022535211267605605, '2010_Gen_Ed_Survey_Data.csv.eng_t_10': -0.0028169014084507005, 'base.csv.Total Parent Response Rate (%)': -0.0028169014084507005, 'Schools_Progress_Report_2012-2013.csv.SCHOOL LEVEL*': -0.004507042253521121, '2010_Gen_Ed_Survey_Data.csv.p_q7b_2': -0.006760563380281681, '2010_Gen_Ed_Survey_Data.csv.saf_tot_10': -0.007887323943661961}","['base.csv.Total Parent Response Rate (%)', 'base.csv.Total Teacher Response Rate (%)', 'Schools_Progress_Report_2012-2013.csv.SCHOOL LEVEL*', 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT CATEGORY SCORE', 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT GRADE', '2010_Gen_Ed_Survey_Data.csv.enrollment', '2010_Gen_Ed_Survey_Data.csv.N_s', '2010_Gen_Ed_Survey_Data.csv.nr_s', '2010_Gen_Ed_Survey_Data.csv.nr_p', '2010_Gen_Ed_Survey_Data.csv.saf_t_10', '2010_Gen_Ed_Survey_Data.csv.eng_t_10', '2010_Gen_Ed_Survey_Data.csv.aca_t_10', '2010_Gen_Ed_Survey_Data.csv.saf_s_10', '2010_Gen_Ed_Survey_Data.csv.saf_tot_10', '2010_Gen_Ed_Survey_Data.csv.com_tot_10', '2010_Gen_Ed_Survey_Data.csv.eng_tot_10', '2010_Gen_Ed_Survey_Data.csv.aca_tot_10', '2010_Gen_Ed_Survey_Data.csv.p_q7a_2', '2010_Gen_Ed_Survey_Data.csv.p_q7b_2', '2010_Gen_Ed_Survey_Data.csv.p_q8a_4', '2010_Gen_Ed_Survey_Data.csv.p_q8e_5', '2010_Gen_Ed_Survey_Data.csv.p_q8f_2', '2010_Gen_Ed_Survey_Data.csv.p_q8f_5']",,,
ExtraTrees,base.csv--DBN-Schools_Progress_Report_2012-2013.csv--DBN-2010_Gen_Ed_Survey_Data.csv--DBN-crime.csv--DBN-math.csv--DBN-qr.csv--DBN-disc.csv--DBN-pe.csv--DBN-esl.csv--DBN-oss.csv--DBN-s2tr.csv--TotalStudentResponseRate(%)-2013_NYC_School_Survey.csv--DBN-sat.csv--DBN-gender.csv--DBN-yabc.csv--DBN-transfer.csv--DBN-ap.csv,ARDA,school,,678.6615948677063,677.8584849834442,,0.8063380281690141,0.803109884262085,"{'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT GRADE': 0.04394366197183104, 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT CATEGORY SCORE': 0.012394366197183083, '2010_Gen_Ed_Survey_Data.csv.nr_p': 0.010704225352112661, '2010_Gen_Ed_Survey_Data.csv.N_s': 0.005633802816901401, 'base.csv.Total Teacher Response Rate (%)': 0.005633802816901401, '2010_Gen_Ed_Survey_Data.csv.enrollment': 0.0050704225352112605, 'Schools_Progress_Report_2012-2013.csv.SCHOOL LEVEL*': 0.0039436619718309805, 'base.csv.Total Parent Response Rate (%)': 0.0028169014084507005, '2010_Gen_Ed_Survey_Data.csv.nr_s': 0.0028169014084507005, '2010_Gen_Ed_Survey_Data.csv.saf_t_10': 0.0022535211267605605, '2010_Gen_Ed_Survey_Data.csv.saf_s_10': 0.0016901408450704202, '2010_Gen_Ed_Survey_Data.csv.saf_tot_10': 0.0, '2010_Gen_Ed_Survey_Data.csv.eng_t_10': -0.0011267605633802802, '2010_Gen_Ed_Survey_Data.csv.aca_tot_10': -0.0022535211267605605, '2010_Gen_Ed_Survey_Data.csv.p_q8e_5': -0.0022535211267605605, '2010_Gen_Ed_Survey_Data.csv.aca_t_10': -0.0039436619718309805, '2010_Gen_Ed_Survey_Data.csv.eng_tot_10': -0.007323943661971821, '2010_Gen_Ed_Survey_Data.csv.p_q7a_2': -0.007323943661971821, '2010_Gen_Ed_Survey_Data.csv.p_q8f_5': -0.007323943661971821, '2010_Gen_Ed_Survey_Data.csv.p_q7b_2': -0.009014084507042242, '2010_Gen_Ed_Survey_Data.csv.p_q8a_4': -0.009014084507042242, '2010_Gen_Ed_Survey_Data.csv.com_tot_10': -0.009577464788732382, '2010_Gen_Ed_Survey_Data.csv.p_q8f_2': -0.009577464788732382}","['base.csv.Total Parent Response Rate (%)', 'base.csv.Total Teacher Response Rate (%)', 'Schools_Progress_Report_2012-2013.csv.SCHOOL LEVEL*', 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT CATEGORY SCORE', 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT GRADE', '2010_Gen_Ed_Survey_Data.csv.enrollment', '2010_Gen_Ed_Survey_Data.csv.N_s', '2010_Gen_Ed_Survey_Data.csv.nr_s', '2010_Gen_Ed_Survey_Data.csv.nr_p', '2010_Gen_Ed_Survey_Data.csv.saf_t_10', '2010_Gen_Ed_Survey_Data.csv.eng_t_10', '2010_Gen_Ed_Survey_Data.csv.aca_t_10', '2010_Gen_Ed_Survey_Data.csv.saf_s_10', '2010_Gen_Ed_Survey_Data.csv.saf_tot_10', '2010_Gen_Ed_Survey_Data.csv.com_tot_10', '2010_Gen_Ed_Survey_Data.csv.eng_tot_10', '2010_Gen_Ed_Survey_Data.csv.aca_tot_10', '2010_Gen_Ed_Survey_Data.csv.p_q7a_2', '2010_Gen_Ed_Survey_Data.csv.p_q7b_2', '2010_Gen_Ed_Survey_Data.csv.p_q8a_4', '2010_Gen_Ed_Survey_Data.csv.p_q8e_5', '2010_Gen_Ed_Survey_Data.csv.p_q8f_2', '2010_Gen_Ed_Survey_Data.csv.p_q8f_5']",,,
XGBoost,base.csv--DBN-Schools_Progress_Report_2012-2013.csv--DBN-2010_Gen_Ed_Survey_Data.csv--DBN-crime.csv--DBN-math.csv--DBN-qr.csv--DBN-disc.csv--DBN-pe.csv--DBN-esl.csv--DBN-oss.csv--DBN-s2tr.csv--TotalStudentResponseRate(%)-2013_NYC_School_Survey.csv--DBN-sat.csv--DBN-gender.csv--DBN-yabc.csv--DBN-transfer.csv--DBN-ap.csv,ARDA,school,,678.1729919910431,677.8584849834442,,0.8450704225352113,0.31450700759887695,"{'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT GRADE': 0.1430985915492958, '2010_Gen_Ed_Survey_Data.csv.saf_tot_10': 0.09239436619718311, '2010_Gen_Ed_Survey_Data.csv.saf_s_10': 0.012957746478873267, '2010_Gen_Ed_Survey_Data.csv.p_q8a_4': 0.009014084507042242, '2010_Gen_Ed_Survey_Data.csv.nr_s': 0.007887323943661961, '2010_Gen_Ed_Survey_Data.csv.p_q8f_2': 0.006760563380281681, 'Schools_Progress_Report_2012-2013.csv.SCHOOL LEVEL*': 0.006197183098591541, '2010_Gen_Ed_Survey_Data.csv.p_q7b_2': 0.005633802816901401, '2010_Gen_Ed_Survey_Data.csv.eng_tot_10': 0.0050704225352112605, '2010_Gen_Ed_Survey_Data.csv.aca_tot_10': 0.0050704225352112605, 'base.csv.Total Parent Response Rate (%)': 0.004507042253521121, '2010_Gen_Ed_Survey_Data.csv.eng_t_10': 0.004507042253521121, '2010_Gen_Ed_Survey_Data.csv.N_s': 0.0033802816901408405, '2010_Gen_Ed_Survey_Data.csv.saf_t_10': 0.0016901408450704202, '2010_Gen_Ed_Survey_Data.csv.p_q8f_5': 0.0011267605633802802, '2010_Gen_Ed_Survey_Data.csv.com_tot_10': 0.0, 'base.csv.Total Teacher Response Rate (%)': 0.0, '2010_Gen_Ed_Survey_Data.csv.p_q7a_2': 0.0, '2010_Gen_Ed_Survey_Data.csv.enrollment': 0.0, '2010_Gen_Ed_Survey_Data.csv.p_q8e_5': 0.0, '2010_Gen_Ed_Survey_Data.csv.aca_t_10': 0.0, '2010_Gen_Ed_Survey_Data.csv.nr_p': -0.0033802816901408405, 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT CATEGORY SCORE': -0.008450704225352101}","['base.csv.Total Parent Response Rate (%)', 'base.csv.Total Teacher Response Rate (%)', 'Schools_Progress_Report_2012-2013.csv.SCHOOL LEVEL*', 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT CATEGORY SCORE', 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT GRADE', '2010_Gen_Ed_Survey_Data.csv.enrollment', '2010_Gen_Ed_Survey_Data.csv.N_s', '2010_Gen_Ed_Survey_Data.csv.nr_s', '2010_Gen_Ed_Survey_Data.csv.nr_p', '2010_Gen_Ed_Survey_Data.csv.saf_t_10', '2010_Gen_Ed_Survey_Data.csv.eng_t_10', '2010_Gen_Ed_Survey_Data.csv.aca_t_10', '2010_Gen_Ed_Survey_Data.csv.saf_s_10', '2010_Gen_Ed_Survey_Data.csv.saf_tot_10', '2010_Gen_Ed_Survey_Data.csv.com_tot_10', '2010_Gen_Ed_Survey_Data.csv.eng_tot_10', '2010_Gen_Ed_Survey_Data.csv.aca_tot_10', '2010_Gen_Ed_Survey_Data.csv.p_q7a_2', '2010_Gen_Ed_Survey_Data.csv.p_q7b_2', '2010_Gen_Ed_Survey_Data.csv.p_q8a_4', '2010_Gen_Ed_Survey_Data.csv.p_q8e_5', '2010_Gen_Ed_Survey_Data.csv.p_q8f_2', '2010_Gen_Ed_Survey_Data.csv.p_q8f_5']",,,
WeightedEnsemble_L2,base.csv--DBN-Schools_Progress_Report_2012-2013.csv--DBN-2010_Gen_Ed_Survey_Data.csv--DBN-crime.csv--DBN-math.csv--DBN-qr.csv--DBN-disc.csv--DBN-pe.csv--DBN-esl.csv--DBN-oss.csv--DBN-s2tr.csv--TotalStudentResponseRate(%)-2013_NYC_School_Survey.csv--DBN-sat.csv--DBN-gender.csv--DBN-yabc.csv--DBN-transfer.csv--DBN-ap.csv,ARDA,school,,678.3223807811737,677.8584849834442,,0.852112676056338,0.4638957977294922,"{'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT GRADE': 0.12450704225352116, '2010_Gen_Ed_Survey_Data.csv.saf_tot_10': 0.028732394366197213, '2010_Gen_Ed_Survey_Data.csv.nr_s': 0.011830985915492942, 'base.csv.Total Parent Response Rate (%)': 0.006760563380281681, 'base.csv.Total Teacher Response Rate (%)': 0.006760563380281681, '2010_Gen_Ed_Survey_Data.csv.saf_s_10': 0.006760563380281681, '2010_Gen_Ed_Survey_Data.csv.eng_t_10': 0.0039436619718309805, '2010_Gen_Ed_Survey_Data.csv.eng_tot_10': 0.0033802816901408405, '2010_Gen_Ed_Survey_Data.csv.p_q8a_4': 0.0022535211267605605, '2010_Gen_Ed_Survey_Data.csv.enrollment': 0.0005633802816901401, '2010_Gen_Ed_Survey_Data.csv.p_q7a_2': 0.0005633802816901401, '2010_Gen_Ed_Survey_Data.csv.saf_t_10': 0.0, '2010_Gen_Ed_Survey_Data.csv.p_q8e_5': -0.0011267605633802802, '2010_Gen_Ed_Survey_Data.csv.aca_t_10': -0.0011267605633802802, 'Schools_Progress_Report_2012-2013.csv.SCHOOL LEVEL*': -0.0011267605633802802, '2010_Gen_Ed_Survey_Data.csv.p_q8f_5': -0.0016901408450704202, '2010_Gen_Ed_Survey_Data.csv.aca_tot_10': -0.0022535211267605605, '2010_Gen_Ed_Survey_Data.csv.N_s': -0.0033802816901408405, '2010_Gen_Ed_Survey_Data.csv.com_tot_10': -0.0039436619718309805, '2010_Gen_Ed_Survey_Data.csv.p_q7b_2': -0.004507042253521121, 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT CATEGORY SCORE': -0.0050704225352112605, '2010_Gen_Ed_Survey_Data.csv.nr_p': -0.007323943661971821, '2010_Gen_Ed_Survey_Data.csv.p_q8f_2': -0.010140845070422521}","['base.csv.Total Parent Response Rate (%)', 'base.csv.Total Teacher Response Rate (%)', 'Schools_Progress_Report_2012-2013.csv.SCHOOL LEVEL*', 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT CATEGORY SCORE', 'Schools_Progress_Report_2012-2013.csv.2012-2013 ENVIRONMENT GRADE', '2010_Gen_Ed_Survey_Data.csv.enrollment', '2010_Gen_Ed_Survey_Data.csv.N_s', '2010_Gen_Ed_Survey_Data.csv.nr_s', '2010_Gen_Ed_Survey_Data.csv.nr_p', '2010_Gen_Ed_Survey_Data.csv.saf_t_10', '2010_Gen_Ed_Survey_Data.csv.eng_t_10', '2010_Gen_Ed_Survey_Data.csv.aca_t_10', '2010_Gen_Ed_Survey_Data.csv.saf_s_10', '2010_Gen_Ed_Survey_Data.csv.saf_tot_10', '2010_Gen_Ed_Survey_Data.csv.com_tot_10', '2010_Gen_Ed_Survey_Data.csv.eng_tot_10', '2010_Gen_Ed_Survey_Data.csv.aca_tot_10', '2010_Gen_Ed_Survey_Data.csv.p_q7a_2', '2010_Gen_Ed_Survey_Data.csv.p_q7b_2', '2010_Gen_Ed_Survey_Data.csv.p_q8a_4', '2010_Gen_Ed_Survey_Data.csv.p_q8e_5', '2010_Gen_Ed_Survey_Data.csv.p_q8f_2', '2010_Gen_Ed_Survey_Data.csv.p_q8f_5']",,,
LightGBM,target_churn.csv--ACC_KEY-ACCOUNTS.csv--ACC_KEY-ACCOUNT_TYPES.csv--ACC_KEY-ACCOUNT_TRANSACTIONS.csv,ARDA,accounting,,4.902774810791016,4.776113986968994,,0.9375,0.12666082382202148,"{'target_churn.csv.ACC_KEY': 0.0, 'ACCOUNTS.csv.ACCTP_KEY': 0.0, 'ACCOUNTS.csv.ACCH_OPEN_DATE': 0.0}","['target_churn.csv.ACC_KEY', 'ACCOUNTS.csv.ACCTP_KEY', 'ACCOUNTS.csv.ACCH_OPEN_DATE']",,,
