index,V8,V9,V10,V26,spf_id
238,24220,76,108,-0.2913,629535
13293,11397,84,123,-0.1756,114895
3390,7972,99,125,-0.1228,53197
14214,18996,99,126,-0.1568,764094
3240,246930,37,126,-0.1992,575797
13551,62357,64,127,-0.2267,966188
11575,1481991,23,199,0.2791,266314
17344,20007,124,172,0.1841,785504
16576,29748,53,148,-0.1197,714926
18988,180215,53,143,-0.0651,209468
4124,50393,76,143,-0.1093,504707
5513,31062,97,119,-0.1455,364738
14449,61966,102,158,0.0086,188443
19326,38917,62,111,-0.2978,409616
8541,69258,36,133,-0.2568,993161
5064,119540,50,134,-0.1487,490669
6746,570911,11,143,-0.1157,863648
9046,59750,79,134,-0.1543,239588
11085,14907,92,126,-0.1499,500286
474,24807,96,141,-0.0727,94883
11192,32604,87,141,-0.1031,671972
11283,17753,101,134,-0.0935,318288
7950,13829,107,150,0.0192,476998
1165,32175,92,141,-0.0479,483912
2605,27349,123,148,0.063,78626
7196,16645,77,111,-0.2395,905490
583,38722,75,118,-0.2341,948976
6210,8948,97,119,-0.1776,907673
4486,368381,33,140,-0.1045,700841
12425,36875,51,124,-0.2537,181598
8885,20751,99,132,-0.1093,677129
714,48793,47,125,-0.2767,731680
16164,16680,80,119,-0.1752,822970
12919,19762,70,111,-0.2785,723999
11510,68851,15,119,-0.4588,821993
4477,35856,55,127,-0.2367,733268
13228,32705,55,125,-0.2015,310218
16062,43323,77,135,-0.1046,839783
4466,17413,73,100,-0.3522,411012
13035,20993,79,126,-0.184,49443
5133,44712,90,132,-0.095,206872
7832,30269,65,124,-0.2701,351509
3630,23207,66,124,-0.2252,120754
17224,34655,88,116,-0.2037,805847
11719,10784,96,132,-0.1403,306731
10035,22785,67,110,-0.3333,809360
14097,5587,85,116,-0.2206,863293
10028,7502,91,124,-0.1745,878823
3509,7525,67,100,-0.3468,495915
18970,6124,95,125,-0.1301,826755
11631,6567,100,132,-0.1154,650057
3830,46365,51,109,-0.3611,189156
10904,16337,72,109,-0.2987,970680
8602,13678,69,108,-0.3061,339433
3950,20528,95,125,-0.1469,272733
17236,15572,88,126,-0.1667,892959
15433,6902,120,149,0.0573,615206
19567,18593,85,119,-0.2106,826190
1739,7416,94,132,-0.1353,455270
7098,7013,99,123,-0.1439,693003
5309,5039,81,111,-0.2572,805165
2285,6863,100,132,-0.1064,446970
15704,8063,84,126,-0.1712,348995
19892,6625,87,118,-0.2158,777025
5965,7846,99,127,-0.1243,322452
8720,38206,77,118,-0.2186,759433
6585,11126,84,116,-0.2098,856183
12599,5369,95,116,-0.1775,297347
10352,5232,73,94,-0.3512,673382
6215,4674,71,101,-0.3479,142963
16524,7804,77,100,-0.315,181180
14117,18416,81,116,-0.2428,918055
3591,8709,99,119,-0.16,832491
1810,4616,58,93,-0.4276,235171
10814,4585,62,92,-0.40299999999999997,905910
1200,3022,80,116,-0.213,625540
9436,24034,90,143,-0.1016,698847
14931,18654,101,141,-0.0658,739308
1566,300024,64,140,-0.1132,471631
6453,228995,16,133,-0.166,524717
19390,141034,47,126,-0.2246,619409
6245,11430,97,126,-0.133,322375
9225,4014,89,111,-0.21600000000000003,351181
15038,1096282,21,141,-0.2153,215978
3486,10915,55,97,-0.3683,579957
2369,13173,94,140,-0.0972,965623
2226,9671,106,128,-0.0786,765854
11100,28986,78,127,-0.1765,305764
17867,32134,92,132,-0.1313,546679
15286,35005,68,135,-0.1263,80701
3077,44883,63,132,-0.1976,112184
5204,67978,44,124,-0.3003,231789
14120,67597,72,124,-0.2199,90704
5904,17820,49,109,-0.3402,453205
16594,5049,87,109,-0.2414,443808
7393,28261,91,126,-0.1541,321168
1396,15385,103,126,-0.1097,869217
12463,20264,99,125,-0.1253,167012
14842,12212,100,127,-0.1247,205825
4436,11385,95,127,-0.128,480917
7402,5999,111,135,-0.081,489570
11943,13356,89,111,-0.2213,860770
7075,24547,49,126,-0.27899999999999997,107668
10768,97514,66,133,-0.2146,377661
12918,41622,46,108,-0.3686,340383
19226,11656,71,127,-0.215,502877
7139,283038,19,141,-0.11199999999999999,227501
1114,28050,89,140,-0.1269,540112
1487,18742,87,134,-0.1126,737115
9728,11439,84,127,-0.2021,820108
9686,22478,84,126,-0.1557,280892
7522,33379,68,125,-0.2262,215036
6287,9559,23,94,-0.5528,740052
3969,21691,90,125,-0.1527,425972
16962,19226,30,93,-0.5816,256042
8851,24697,45,95,-0.4471,492855
7567,9253,38,101,-0.4836,363323
5746,37695,80,124,-0.223,867320
3624,13345,89,134,-0.1384,143058
15700,78455,88,124,-0.1956,129411
3762,90154,91,126,-0.182,563626
17165,32766,86,124,-0.2359,153454
15567,24672,90,119,-0.2035,563533
1323,25531,64,126,-0.2445,871429
12411,14605,94,125,-0.1485,478583
4327,37930,77,125,-0.2034,636449
10396,84410,62,127,-0.1694,591299
14877,23706,77,127,-0.1841,384828
17383,89508,68,127,-0.2456,965286
5608,21864,74,126,-0.2475,464838
18139,28268,85,127,-0.1851,929102
7973,76380,63,127,-0.2261,825615
15890,43880,62,125,-0.2722,595397
19944,29895,81,126,-0.1805,253066
18175,12238,84,124,-0.2033,72841
11263,454421,30,133,-0.2424,86152
15146,8051,106,127,-0.1015,966485
8144,19118,80,127,-0.1702,147761
16946,18052,79,127,-0.1704,966946
2724,9917,110,134,-0.0666,387907
2259,197957,28,126,-0.4283,19199
231,17388,65,126,-0.2325,932020
16904,22508,66,125,-0.2043,127771
18880,11573,89,126,-0.1705,739171
7662,11748,84,135,-0.1175,10422
7126,363821,37,133,-0.1436,670235
16275,46520,49,127,-0.2746,622239
18889,28711,68,126,-0.2292,7214
