V22,V23,V24,i_id,index
2.4265,0.9031,1.6435,3348,731
2.0334,0.7782,1.4624,9912,7061
1.8513,0.7782,1.2553,271,4329
2.2455,0.8451,1.6532,2451,4
3.3818,1.2305,2.4099,2047,9293
2.7993,1.0414,1.9395,8538,7379
3.9567,1.5185,2.6181,3672,8594
2.1206,1.0,1.301,3729,45
2.4216,1.1139,1.415,4123,1022
3.1778,1.2041,2.2148,5678,7424
2.6454,1.0792,1.6812,7306,3446
2.4533,1.0,1.8062,7480,1847
2.6812,1.0792,1.7324,10373,2360
2.6365,0.9542,1.7781,13540,9656
2.8621,1.1761,1.8129,13383,874
3.0402,1.1761,2.1206,5664,1786
3.7028,1.5563,2.4281,5891,7483
2.7419,1.1461,1.8633,13052,10334
2.1367,0.8451,1.3979,7116,10819
2.3201,1.0792,1.4314,574,2163
2.4533,1.0414,1.5315,954,10033
2.1847,0.9542,1.4624,296,6862
2.0253,0.9542,1.2787,9667,5456
2.4216,1.0,1.5911,8052,6677
2.3032,0.9542,1.5185,11345,4321
2.233,0.9542,1.3617,12324,10124
2.5966,1.1461,1.5911,6002,2609
1.9294,0.7782,1.2553,8488,3128
3.5071,1.3222,2.3997,9313,8499
2.5866,1.1139,1.5798,4583,1404
2.2601,0.8451,1.5185,9195,3185
2.7218,1.1139,1.7993,1425,9231
2.1987,0.8451,1.3802,8715,7653
2.3304,1.0,1.4472,14151,4339
2.9974,1.3617,1.7924,3365,4446
2.5647,1.0792,1.6335,12358,1064
2.5052,1.0792,1.5911,7232,6554
2.5775,1.0,1.8513,5681,411
2.3222,1.0,1.6812,2069,366
2.3032,1.0792,1.3617,12769,4348
2.5866,1.0,1.7324,3505,2353
2.5106,1.0792,1.5563,9578,4224
2.3692,1.0792,1.415,4854,7456
2.5315,1.0,1.699,6888,9258
1.9912,0.9031,1.3222,6152,6289
2.4265,0.9542,1.6902,6438,1623
1.7482,0.8451,1.1139,12810,9601
1.8513,0.7782,1.2305,13523,9682
1.9542,1.0792,1.0792,15212,9187
1.7404,0.8451,1.0414,6739,9776
1.7634,0.8451,1.1139,8277,6008
2.7536,1.0414,1.8195,6348,7803
2.2601,0.9542,1.4314,2501,10201
2.1875,1.0,1.3802,10320,6283
2.2742,0.9542,1.5315,425,9975
2.1644,0.9542,1.4314,7489,8328
1.7076,1.1139,0.7782,1693,9166
2.2648,1.0792,1.4771,464,8691
1.8261,0.9031,1.0792,13965,10620
1.8062,0.7782,1.1761,4904,10800
1.7243,0.8451,1.0,4297,564
1.7781,0.8451,1.0414,3088,2044
1.8808,0.9542,1.0414,15300,9490
1.8195,0.8451,1.0792,12055,7848
1.8451,0.9542,1.0414,2155,7084
2.5821,0.9542,1.7781,1620,7973
2.0414,0.9031,1.301,14306,1598
1.7076,0.7782,1.1139,11452,9485
1.7993,0.9031,1.1461,5383,3152
1.7482,0.9031,0.9542,193,3527
1.9494,1.0414,1.1139,6451,2638
2.2787,0.9542,1.4472,9524,6791
1.9085,0.9031,1.301,10005,5208
1.7993,0.7782,1.2553,5404,9659
1.7781,0.9031,1.0792,5803,7842
1.4771,0.8451,0.7782,15003,2794
2.3201,0.9542,1.4914,7307,3886
2.1931,0.9542,1.3617,1200,7904
3.4221,1.2041,2.4487,11710,854
3.3314,1.2553,2.2989,9659,4107
3.1526,1.415,2.2201,14347,10381
2.0128,0.9031,1.2305,10141,5831
1.6021,0.9031,0.8451,12868,3865
4.038,1.4914,2.7760000000000002,11294,7103
2.1303,1.0792,1.2041,12640,10469
2.0569,0.9542,1.2041,13930,10455
1.9138,0.8451,1.301,10072,4001
2.4393,1.0792,1.5051,12471,8449
2.4609,1.0414,1.5563,12039,1236
2.4955,1.1761,1.5911,8058,9220
2.6405,1.1139,1.716,8890,8557
2.8802,1.2305,1.8389,6654,5271
2.8306,1.1139,1.8261,12773,9638
2.3243,1.1139,1.3424,12625,8215
1.716,0.9542,0.8451,1751,3511
2.4166,1.1139,1.4624,952,5875
2.1303,0.9031,1.415,3303,5958
2.2577,0.8451,1.6335,9349,2878
2.0374,0.9031,1.2787,15332,10497
2.0086,0.9031,1.2041,9565,9919
1.7076,0.8451,1.0792,8331,8275
2.1271,1.0,1.3222,10015,9888
2.4249,1.1461,1.4472,3170,4813
2.9868,1.0792,2.0128,8801,7652
2.7118,1.1139,1.7559,2359,4736
2.0645,1.0,1.1761,5184,10488
3.3962,1.3222,2.2945,11255,6957
2.3997,1.1139,1.4472,11610,7225
2.2175,1.0792,1.3802,1616,3400
2.0492,0.9542,1.2305,6270,10531
2.3181,1.0414,1.5051,9134,2887
2.5276,1.1139,1.5441,4097,3317
2.2227,0.9542,1.4472,15362,10576
2.301,0.9542,1.5051,4855,1045
2.5551,0.7782,1.9243,4538,2576
2.5428,0.8451,1.8451,4564,5183
2.1461,0.8451,1.4771,14999,3195
2.5786,1.0792,1.6532,14556,9017
2.0828,0.9542,1.301,7853,8457
2.8819,1.1761,1.9294,13200,10196
2.935,1.1461,1.9912,7378,10659
2.525,1.1461,1.6233,335,10579
2.3838,1.0414,1.5185,12915,148
2.4216,1.0792,1.4771,6368,9322
2.1271,0.9031,1.4314,11481,2738
2.5705,1.0792,1.8389,13798,942
2.8998,1.2041,1.9395,11081,1742
2.356,1.0792,1.5051,14402,9754
2.9671,1.1761,2.0086,7111,10671
2.356,0.9542,1.4914,9421,8134
2.4330000000000003,0.9542,1.6435,828,2519
2.887,1.2553,1.9494,11552,8374
2.673,1.1139,1.7324,8308,7422
2.4548,1.1761,1.5051,3807,493
2.0792,0.9031,1.3617,13791,6875
3.6708,1.2553,2.6294,758,5049
1.8451,0.6990000000000001,1.2553,15036,1406
2.2553,0.9542,1.415,8582,5281
2.2304,1.0414,1.3617,10834,4251
1.9191,0.7782,1.301,8573,3489
3.4322,1.1461,2.5515,480,2543
2.248,0.6990000000000001,1.699,12936,9221
2.3444,1.0414,1.4914,9937,3863
2.0374,0.9031,1.2553,10769,10884
2.017,1.0,1.1461,5651,5859
3.5210000000000004,1.2041,2.5527,419,3484
2.6998,1.1139,1.7243,12431,2872
2.4639,1.1139,1.5185,4956,183
2.6474,1.0414,1.7853,5878,3814
2.4116,1.0792,1.4914,1593,3628
2.2253,0.9031,1.4472,12265,203
2.1335,1.0,1.2787,2149,3180
2.0756,0.9542,1.415,15228,9482
2.4099,1.0,1.5315,12336,10790
