id,strong_team,strong_score,strong_overall,strong_avg_age,ft_id
3732,Brazil,2,84,26.1,1
7567,Denmark,1,75,27.0,2
3606,Croatia,1,78,26.37,3
641,Spain,2,85,25.17,4
7327,Argentina,1,83,26.33,5
691,Russia,1,80,26.17,6
22,Italy,0,83,27.17,7
3096,Mexico,2,77,26.2,8
1437,Netherlands,2,80,26.4,9
4014,Bulgaria,0,73,27.63,10
3161,Portugal,2,82,27.1,11
1342,Czech Republic,0,78,27.73,12
1457,Uruguay,3,78,25.73,13
7769,Paraguay,1,75,27.5,14
4154,Mexico,0,77,26.2,15
3006,Ecuador,0,72,27.83,16
3995,Croatia,1,78,26.37,17
7581,Belgium,2,76,24.33,18
1392,Turkey,2,78,25.47,19
4864,Australia,2,75,27.5,20
7297,England,3,83,26.93,21
5769,Bulgaria,1,73,27.63,22
1979,Ireland,2,75,26.83,23
6101,Czech Republic,4,78,27.73,24
766,Netherlands,2,80,26.4,25
988,Turkey,2,78,25.47,26
1672,Germany,3,82,24.8,27
5061,Poland,0,72,26.97,28
2974,Ukraine,3,76,26.0,29
4895,Turkey,1,78,25.47,30
6750,Australia,1,75,27.5,31
1982,Portugal,3,82,27.1,32
150,Greece,0,76,26.63,33
5019,Ukraine,1,76,26.0,34
5979,Italy,1,83,27.17,35
7738,Spain,1,85,25.17,36
1015,France,0,83,26.17,37
1422,Slovenia,3,70,25.67,38
842,Australia,1,75,27.5,39
3359,Netherlands,6,80,26.4,40
8,Denmark,0,75,27.0,41
2646,Italy,1,83,27.17,42
4785,Spain,6,85,25.17,43
3202,Mexico,1,77,26.2,44
4590,France,0,83,26.17,45
6362,England,1,83,26.93,46
5217,Greece,0,76,26.63,47
3592,Germany,4,82,24.8,48
1661,Italy,1,83,27.17,49
1746,Netherlands,2,80,26.4,50
7220,Uruguay,3,78,25.73,51
6505,Spain,0,85,25.17,52
6719,Argentina,4,83,26.33,53
7162,France,0,83,26.17,54
5672,USA,2,74,25.4,55
4053,Cameroon,1,76,26.0,56
4016,Italy,1,83,27.17,57
5833,Argentina,2,83,26.33,58
5740,Uruguay,1,78,25.73,59
2215,France,1,83,26.17,60
4709,England,1,83,26.93,61
6182,Netherlands,2,80,26.4,62
3030,Paraguay,0,75,27.5,63
4591,Brazil,0,84,26.1,64
6108,Uruguay,2,78,25.73,65
7654,Argentina,3,83,26.33,66
2726,England,1,83,26.93,67
1302,Spain,1,85,25.17,68
7424,Brazil,1,84,26.1,69
4772,Argentina,0,83,26.33,70
6731,Spain,1,85,25.17,71
91,Netherlands,3,80,26.4,72
7455,Spain,1,85,25.17,73
5702,Germany,3,82,24.8,74
4794,Spain,1,85,25.17,75
5145,Brazil,2,84,26.1,76
7291,Switzerland,1,76,25.7,77
854,Germany,2,82,24.8,78
2239,England,2,83,26.93,79
7606,Belgium,0,76,24.33,80
3718,Argentina,1,83,26.33,81
393,Spain,1,85,25.17,82
2922,France,1,83,26.17,83
6768,Cameroon,3,76,26.0,84
1694,Russia,1,80,26.17,85
4098,Australia,0,75,27.5,86
5223,Sweden,3,77,25.67,87
7095,Turkey,2,78,25.47,88
4473,Netherlands,1,80,26.4,89
3385,Germany,1,82,24.8,90
485,England,4,83,26.93,91
904,Northern Ireland,1,71,25.43,92
1266,Sweden,2,77,25.67,93
3826,Switzerland,0,76,25.7,94
1401,Mexico,1,77,26.2,95
628,Ukraine,1,76,26.0,96
1148,Spain,1,85,25.17,97
242,Paraguay,1,75,27.5,98
6708,Croatia,0,78,26.37,99
630,Netherlands,2,80,26.4,100
1128,Portugal,0,82,27.1,101
7267,Australia,2,75,27.5,102
6994,England,3,83,26.93,103
4565,Turkey,3,78,25.47,104
1567,Czech Republic,1,78,27.73,105
7575,Germany,3,82,24.8,106
1951,Russia,3,80,26.17,107
7571,Italy,0,83,27.17,108
4300,Portugal,3,82,27.1,109
2553,Australia,1,75,27.5,110
6867,France,2,83,26.17,111
4049,USA,2,74,25.4,112
812,Brazil,2,84,26.1,113
3162,Belgium,4,76,24.33,114
3025,Uruguay,4,78,25.73,115
5115,Croatia,2,78,26.37,116
7626,Ecuador,2,72,27.83,117
5232,Finland,1,72,27.7,118
5385,Netherlands,4,80,26.4,119
3530,Paraguay,2,75,27.5,120
2119,Spain,3,85,25.17,121
3208,Brazil,0,84,26.1,122
2997,Greece,2,76,26.63,123
5997,Czech Republic,0,78,27.73,124
4420,England,1,83,26.93,125
217,Ireland,1,75,26.83,126
4088,Italy,1,83,27.17,127
6093,Netherlands,1,80,26.4,128
5943,Spain,0,85,25.17,129
2456,Russia,0,80,26.17,130
5837,USA,1,74,25.4,131
110,Germany,0,82,24.8,132
2173,Switzerland,2,76,25.7,133
2255,Australia,1,75,27.5,134
4491,Ukraine,2,76,26.0,135
4639,Argentina,2,83,26.33,136
2104,Belgium,1,76,24.33,137
7198,Croatia,4,78,26.37,138
4405,England,2,83,26.93,139
2997,Brazil,0,84,26.1,140
4820,Italy,1,83,27.17,141
4664,Netherlands,3,80,26.4,142
5368,Norway,0,75,27.33,143
2428,Scotland,3,75,26.6,144
1717,Sweden,1,77,25.67,145
3034,Turkey,0,78,25.47,146
4602,Belgium,2,77,23.23,147
643,China,1,65,23.93,148
5175,Netherlands,4,81,26.13,149
2242,Italy,1,82,25.57,150
713,Spain,2,85,25.8,151
