id,dif_overall,dif_attack,dif_midfield,dif_deffense,dif_bu_speed,dif_bu_passing,dif_cc_crossing,dif_cc_passing,dif_cc_shooting,dif_aggression,dif_preassure,dif_avg_age,ft_id
49751,9,11,7,9,0,-40,-10,0,0,-35,0,-0.729999999999997,1
33815,2,1,5,4,-20,-20,-15,-15,-15,-20,-5,3.03,2
18220,2,4,-1,-1,5,-20,-25,5,-5,-15,0,2.04,3
67565,2,1,1,0,-5,-10,-5,0,35,-15,5,-1.0,4
77534,1,2,2,-1,0,-32,23,11,0,-16,-28,1.53,5
60748,8,10,5,10,0,-35,5,20,0,-10,10,-1.21,6
2698,7,10,8,6,-3,-40,15,-15,-30,-30,-40,1.17,7
2743,15,13,17,16,-5,-25,-15,-5,-5,-10,-5,0.23,8
15296,6,9,9,6,-20,-15,25,40,26,10,-35,1.0,9
66347,1,1,2,1,0,0,0,10,0,0,0,0.66,10
66737,16,14,17,15,0,-40,30,25,0,-30,-35,0.17000000000000198,11
2529,3,0,1,2,-20,0,-5,-5,0,0,5,1.13,12
12399,2,2,-4,1,20,-15,5,-7,0,-15,-15,0.0300000000000011,13
37011,3,5,-1,6,-5,-30,-20,0,0,-25,-35,0.5399999999999989,14
3136,5,6,5,9,-5,0,10,0,-5,-5,0,-1.63,15
55379,2,0,0,0,0,-15,-20,0,0,5,0,2.26,16
75814,5,6,7,3,0,-20,-35,5,-10,-15,-10,2.4,17
80283,3,3,5,6,-5,5,-10,-5,-5,0,-15,-3.3,18
30264,0,4,3,0,20,-5,5,25,0,0,-15,-2.26,19
73023,13,11,14,10,0,0,-10,0,0,0,-20,1.53,20
23815,6,8,10,8,5,25,15,-10,5,10,0,0.73,21
82192,1,0,-1,1,0,-5,5,5,-5,0,-10,0.6699999999999979,22
34407,0,-3,4,0,5,30,30,5,0,25,35,-0.670000000000002,23
9786,4,1,3,4,-20,20,20,15,30,20,0,2.33,24
53847,3,8,6,2,-15,-10,15,5,1,0,-30,0.19999999999999898,25
1622,7,11,11,4,0,-5,5,0,0,0,-15,0.0399999999999991,26
21441,10,12,7,13,0,-8,-23,9,0,-24,3,-2.58,27
18380,0,2,-1,-3,0,10,10,10,5,0,15,-0.73,28
24254,1,2,2,-4,-15,5,0,0,0,20,25,-1.23,29
21488,4,5,6,4,0,15,25,40,30,20,-15,0.0700000000000003,30
15837,0,-1,-1,-6,20,20,10,20,20,20,0,0.5,31
49127,6,4,8,5,0,-40,25,0,0,-20,-35,1.1,32
30522,1,1,5,1,-20,20,30,-35,-40,-15,-5,-0.870000000000001,33
34710,1,-2,-1,-2,-15,0,0,15,0,0,-15,-1.33,34
79834,6,10,7,6,2,-15,5,-10,-25,-30,-35,0.9700000000000021,35
53820,15,16,14,17,-5,-30,-20,5,-5,-15,-5,-0.39999999999999897,36
51242,17,19,18,18,0,-30,10,25,-40,-10,-15,-0.7599999999999979,37
37598,8,10,10,9,0,0,-5,-15,0,0,-20,-0.29999999999999705,38
57618,1,-1,0,-2,0,20,15,40,30,20,-20,2.1,39
26510,8,12,8,10,-20,-35,10,20,-4,-10,-20,-0.98,40
53723,3,2,1,7,-20,-20,-10,-15,-20,-20,-20,0.0399999999999991,41
15363,7,9,7,7,17,-35,-5,-12,-30,-30,-15,1.47,42
13514,13,14,15,15,-5,-35,-20,10,0,-25,0,-1.8,43
11908,5,3,3,7,-5,-25,-5,0,-5,-10,-5,-0.7600000000000021,44
52900,5,6,12,8,0,-10,-20,10,-40,15,25,0.44000000000000106,45
30297,9,9,13,12,0,20,25,25,30,20,-5,1.53,46
76338,6,9,6,9,-25,0,5,-35,-40,-30,-35,1.06,47
64527,7,10,8,11,0,-8,-23,-11,0,-24,8,-2.7,48
16924,8,8,11,7,2,-10,20,-10,-30,-15,-5,-0.32999999999999796,49
62847,5,9,8,2,0,-15,20,20,16,10,-15,-0.600000000000001,50
32433,6,6,-1,7,0,-20,10,-5,0,-25,-40,-1.23,51
47325,9,9,9,9,15,-35,-20,3,-5,-15,15,-0.529999999999998,52
20722,13,16,12,13,0,-30,-5,5,0,-30,-35,0.7599999999999979,53
8471,6,9,8,8,5,-5,-5,5,-35,0,-10,-0.0299999999999976,54
52750,4,2,4,3,0,-20,-20,-25,-30,-20,20,-0.270000000000003,55
11974,1,1,1,0,20,20,-5,20,20,10,20,-1.0,56
78430,21,23,24,22,-3,-40,-10,-15,-30,-40,-40,1.2,57
18701,7,7,6,4,25,-30,-10,40,40,0,0,-0.30000000000000104,58
37622,1,3,-4,0,5,5,15,-5,5,-15,-35,-0.469999999999999,59
9090,11,12,11,15,0,-30,-10,5,-40,-10,-15,-0.7899999999999989,60
36477,13,11,17,15,0,0,5,0,0,0,15,1.26,61
45222,4,8,7,2,-20,-35,25,0,-4,0,-35,0.39999999999999897,62
45136,13,15,13,15,-5,-30,-30,-5,0,-25,-35,1.53,63
64775,2,6,0,3,0,0,-10,0,0,-5,35,-1.0,64
13382,8,9,1,9,0,-10,5,-5,0,-15,-35,0.16,65
37772,6,10,7,4,5,-15,5,5,5,-30,-35,0.129999999999999,66
37412,1,0,5,3,0,8,33,-4,0,24,7,2.13,67
24352,3,6,2,3,-5,0,-25,0,-5,5,25,-1.93,68
81462,4,2,1,6,20,-5,-10,0,4,-25,35,-0.29999999999999705,69
29413,1,2,2,-1,0,-32,23,11,0,-16,-28,1.53,70
67352,10,8,13,9,0,-10,5,5,-5,0,25,-2.33,71
17449,2,5,10,2,-20,-15,0,10,-4,15,5,0.6699999999999979,72
60168,3,2,4,3,-5,-32,8,11,-5,-1,2,0.37000000000000105,73
43573,4,5,9,5,0,12,-33,-1,0,1,28,-0.93,74
66058,5,2,3,6,15,-5,-25,0,-1,-15,25,-1.23,75
40759,10,11,10,12,0,-20,15,40,30,-15,0,0.700000000000003,76
74194,3,3,7,3,-20,-5,0,2,5,-10,-10,1.73,77
68185,7,9,7,5,20,12,-13,9,20,-4,8,-2.2,78
80214,11,12,12,16,0,0,10,5,0,0,10,-0.44999999999999896,79
37811,4,6,6,4,-5,15,0,15,0,0,0,-3.37,80
32439,8,11,7,5,0,-40,-10,0,0,-40,-40,-0.5,81
1876,8,10,9,8,0,-15,-10,5,0,-15,-5,-1.03,82
54852,8,7,9,10,0,-30,-20,20,-40,-10,-15,-1.16,83
58916,4,4,5,7,0,5,-20,10,5,-10,10,-0.969999999999999,84
60550,7,9,7,8,0,-30,0,0,5,-10,5,-1.46,85
26967,5,1,4,1,0,0,-5,15,0,0,0,1.83,86
78856,2,5,0,2,-10,-10,0,20,0,0,-5,-0.93,87
47291,3,6,7,0,0,0,0,5,0,20,25,-1.76,88
39724,4,8,8,6,-5,-35,0,5,-4,-10,-20,0.39999999999999897,89
20157,6,8,4,5,5,-8,-18,-6,10,-24,13,0.470000000000002,90
34483,10,11,14,14,0,5,5,-15,5,0,5,-0.699999999999999,91
75368,1,-4,-1,3,0,0,0,15,0,0,20,-0.24000000000000196,92
9952,5,9,1,8,-10,-10,10,20,0,0,5,-1.71,93
54375,1,3,3,5,-20,-5,5,-3,0,-10,-5,-1.8,94
43207,5,6,5,9,-5,0,10,0,-5,-5,0,-1.63,95
