id,weak_team,weak_score,weak_overall,weak_avg_age,ft_id
11070,Ireland,0,75,26.83,1
30020,Austria,2,73,23.97,2
38939,Belgium,0,76,24.33,3
9774,France,0,83,26.17,4
43675,Germany,0,82,24.8,5
54979,Hungary,1,72,27.38,6
30326,Cameroon,0,76,26.0,7
70223,New Zealand,0,62,25.97,8
68909,USA,1,74,25.4,9
1251,Poland,2,72,26.97,10
69374,China,0,66,26.93,11
20324,Scotland,1,75,26.6,12
67387,Switzerland,1,76,25.7,13
39727,South Africa,1,72,26.96,14
2202,Ecuador,0,72,27.83,15
18298,Korea Republic,2,70,25.57,16
12088,Austria,0,73,23.97,17
53312,Bulgaria,1,73,27.63,18
70722,Czech Republic,1,78,27.73,19
35471,New Zealand,1,62,25.97,20
15686,Mexico,1,77,26.2,21
990,South Africa,1,72,26.96,22
39255,Paraguay,1,75,27.5,23
6505,USA,2,74,25.4,24
402,Mexico,1,77,26.2,25
12784,Northern Ireland,0,71,25.43,26
21480,Hungary,0,72,27.38,27
67090,Finland,0,72,27.7,28
55592,Romania,2,75,27.23,29
1816,USA,2,74,25.4,30
9853,Denmark,0,75,27.0,31
19122,Cameroon,1,76,26.0,32
46012,Paraguay,2,75,27.5,33
4919,Norway,0,75,27.33,34
30632,Mexico,2,77,26.2,35
43990,Korea Republic,0,70,25.57,36
22684,China,1,66,26.93,37
3888,New Zealand,1,62,25.97,38
27828,USA,3,74,25.4,39
9837,Hungary,1,72,27.38,40
18132,South Africa,1,72,26.96,41
138,Switzerland,1,76,25.7,42
19184,Poland,0,72,26.97,43
3449,South Africa,1,72,26.96,44
15568,Uruguay,0,78,25.73,45
3421,USA,1,74,25.4,46
61943,Korea Republic,2,70,25.57,47
35226,Australia,0,75,27.5,48
52280,Paraguay,1,75,27.5,49
9445,Denmark,0,75,27.0,50
35883,South Africa,0,72,26.96,51
8760,Switzerland,1,76,25.7,52
51365,Korea Republic,1,70,25.57,53
16132,Mexico,2,77,26.2,54
38318,Slovenia,2,70,25.67,55
25432,Denmark,2,75,27.0,56
67943,New Zealand,1,62,25.97,57
65176,Greece,0,76,26.63,58
50114,Mexico,0,77,26.2,59
6356,South Africa,2,72,26.96,60
32755,Slovenia,0,70,25.67,61
37998,Cameroon,1,76,26.0,62
17701,New Zealand,0,62,25.97,63
57314,Portugal,0,82,27.1,64
51575,Korea Republic,1,70,25.57,65
49858,Mexico,1,77,26.2,66
62722,Germany,4,82,24.8,67
63013,Portugal,0,82,27.1,68
11167,Netherlands,2,80,26.4,69
28191,Germany,4,82,24.8,70
52756,Paraguay,0,75,27.5,71
68346,Uruguay,2,78,25.73,72
62011,Germany,0,82,24.8,73
11298,Uruguay,2,78,25.73,74
33540,Netherlands,0,80,26.4,75
15233,USA,0,74,25.4,76
11931,Austria,0,73,23.97,77
6476,Denmark,2,75,27.0,78
22190,Hungary,1,72,27.38,79
47628,Finland,1,72,27.7,80
31423,Ireland,0,75,26.83,81
45832,Mexico,1,77,26.2,82
62504,Norway,2,75,27.33,83
39812,Poland,0,72,26.97,84
2401,Bulgaria,0,73,27.63,85
16564,Slovenia,2,70,25.67,86
65167,Scotland,0,75,26.6,87
26320,Romania,0,75,27.23,88
2587,Ukraine,1,76,26.0,89
54744,Belgium,0,76,24.33,90
70764,Bulgaria,0,73,27.63,91
16978,Slovenia,0,70,25.67,92
50691,Hungary,0,72,27.38,93
34289,Australia,0,75,27.5,94
30350,Ecuador,2,72,27.83,95
64716,Poland,1,72,26.97,96
36794,Argentina,4,83,26.33,97
14920,China,1,66,26.93,98
52989,Greece,0,76,26.63,99
8826,Finland,1,72,27.7,100
15530,Norway,1,75,27.33,101
24878,Poland,1,72,26.97,102
24561,Switzerland,1,76,25.7,103
42899,Belgium,2,76,24.33,104
61619,Scotland,0,75,26.6,105
50670,Turkey,0,78,25.47,106
25859,Ireland,2,75,26.83,107
38084,Northern Ireland,0,71,25.43,108
31398,Denmark,1,75,27.0,109
62491,Paraguay,0,75,27.5,110
33679,Romania,0,75,27.23,111
38732,Poland,2,72,26.97,112
55589,Ukraine,0,76,26.0,113
38611,Austria,4,73,23.97,114
55472,China,0,66,26.93,115
42368,Norway,1,75,27.33,116
6625,Poland,2,72,26.97,117
15049,Hungary,2,72,27.38,118
32609,Sweden,1,77,25.67,119
7043,New Zealand,0,62,25.97,120
33844,Scotland,2,75,26.6,121
10392,Argentina,1,83,26.33,122
3761,Austria,1,73,23.97,123
3095,Denmark,0,75,27.0,124
17462,France,2,83,26.17,125
43358,Norway,2,75,27.33,126
25743,Romania,1,75,27.23,127
69335,Turkey,0,78,25.47,128
45194,Portugal,4,82,27.1,129
725,Belgium,2,76,24.33,130
49279,South Africa,0,72,26.96,131
23722,Sweden,0,77,25.67,132
4464,Ukraine,2,76,26.0,133
9316,Korea Republic,1,70,25.57,134
25691,Romania,2,75,27.23,135
22670,Portugal,1,82,27.1,136
28469,Finland,1,72,27.7,137
1411,Czech Republic,2,78,27.73,138
19629,Denmark,1,75,27.0,139
61374,France,1,83,26.17,140
51798,Germany,1,82,24.8,141
52552,Austria,1,73,23.97,142
58218,Poland,1,72,26.97,143
35853,Northern Ireland,0,71,25.43,144
31543,Ukraine,1,76,26.0,145
5420,Korea Republic,0,70,25.57,146
67850,Austria,0,73,24.47,147
6997,New Zealand,1,64,26.29,148
20506,Hungary,0,72,25.7,149
52663,Slovenia,0,71,25.3,150
55000,Czech Republic,1,77,26.6,151
31334,Bulgaria,0,72,26.27,152
31295,Denmark,1,75,26.07,153
39719,USA,1,75,24.93,154
42321,Scotland,0,75,27.13,155
31761,Croatia,0,78,25.4,156
68642,Australia,2,73,26.87,157
25737,Poland,0,74,25.07,158
17160,Ireland,2,76,25.87,159
26555,Hungary,3,72,25.7,160
49983,Slovenia,0,71,25.3,161
64989,Finland,0,71,27.2,162
59688,Austria,0,73,24.47,163
36715,Ecuador,2,72,28.63,164
24322,Northern Ireland,0,71,24.73,165
34794,Ecuador,1,72,28.63,166
2871,Uruguay,1,78,26.03,167
27512,Scotland,0,75,27.13,168
65508,New Zealand,0,64,26.29,169
19164,Austria,1,73,24.47,170
32505,Belgium,1,77,23.23,171
51268,Netherlands,0,81,26.13,172
2090,Switzerland,2,76,25.03,173
70089,Norway,0,75,26.87,174
54586,USA,0,75,24.93,175
39225,New Zealand,0,64,26.29,176
59190,Poland,2,74,25.07,177
52244,Romania,0,72,25.97,178
31268,Ecuador,1,72,28.63,179
20436,Ireland,2,76,25.87,180
55694,Cameroon,0,77,24.7,181
2215,Finland,0,71,27.2,182
21779,Uruguay,1,78,26.03,183
21554,Poland,0,74,25.07,184
4242,Ecuador,0,72,28.63,185
6443,USA,2,75,24.93,186
56404,Mexico,0,77,25.2,187
21893,Ecuador,2,72,28.63,188
31421,Uruguay,1,78,26.03,189
43189,Germany,3,82,24.27,190
31070,Ireland,0,76,25.87,191
39774,Italy,2,82,25.57,192
4542,Norway,3,75,26.87,193
53192,Denmark,1,75,26.07,194
16235,Slovenia,0,71,25.3,195
14354,USA,1,75,24.93,196
8284,Bulgaria,0,72,26.27,197
25725,Austria,2,73,24.47,198
55915,Hungary,2,72,25.7,199
50214,Poland,1,74,25.07,200
1998,Scotland,2,75,27.13,201
66510,Austria,0,73,24.47,202
25408,USA,0,75,24.93,203
40109,Norway,0,75,26.87,204
13007,Finland,0,71,27.2,205
14025,Slovenia,0,71,25.3,206
16981,Poland,2,74,25.07,207
25076,Romania,0,72,25.97,208
28147,Ireland,0,76,25.87,209
27668,Bulgaria,1,72,26.27,210
2662,Brazil,0,83,24.73,211
53066,Argentina,0,83,25.57,212
55558,Czech Republic,0,77,26.6,213
29904,Finland,1,71,27.2,214
15507,Greece,2,75,26.2,215
7941,Korea Republic,2,70,23.33,216
9722,Turkey,1,78,26.0,217
49379,Denmark,2,75,26.07,218
16665,Belgium,1,77,23.23,219
48923,Finland,0,71,27.2,220
1277,Northern Ireland,0,71,24.73,221
53647,Mexico,1,77,25.2,222
67699,Scotland,1,75,27.13,223
61302,Sweden,3,76,26.27,224
29375,Ecuador,1,72,28.63,225
70790,Romania,1,72,25.97,226
24165,Denmark,2,75,26.07,227
23275,USA,0,75,24.93,228
60976,Greece,1,75,26.2,229
37945,Switzerland,0,76,25.03,230
3140,Poland,0,74,25.07,231
21745,Croatia,3,78,25.4,232
751,England,1,83,26.37,233
24561,Turkey,0,78,26.0,234
4719,Finland,1,71,27.2,235
51619,Sweden,0,76,26.27,236
43966,Belgium,0,77,23.23,237
19317,Netherlands,0,81,26.13,238
24640,Romania,3,72,25.97,239
18136,Uruguay,1,78,26.03,240
59811,Hungary,1,72,25.7,241
8958,Slovenia,2,71,25.3,242
62208,Finland,1,71,24.96,243
23720,Sweden,3,77,27.32,244
68951,Denmark,0,76,26.48,245
19782,Netherlands,3,82,25.84,246
65307,France,2,83,26.16,247
37749,Greece,1,75,26.16,248
66413,Bulgaria,1,71,26.16,249
53049,USA,1,75,25.44,250
12028,Mexico,0,76,26.08,251
57550,Northern Ireland,0,71,25.32,252
54867,Poland,0,76,25.48,253
8704,Romania,1,73,26.08,254
70438,Scotland,1,74,26.48,255
55820,Switzerland,1,76,24.04,256
60610,Peru,1,74,26.32,257
11899,Peru,0,74,26.32,258
68343,Egypt,2,69,27.6,259
