id,date,strong_team,weak_team,win,tournament
1,2010-03-02,Brazil,Ireland,1,Friendly
2,2010-03-03,Denmark,Austria,0,Friendly
3,2010-03-03,Croatia,Belgium,1,Friendly
4,2010-03-03,Spain,France,1,Friendly
5,2010-03-03,Argentina,Germany,1,Friendly
6,2010-03-03,Russia,Hungary,0,Friendly
7,2010-03-03,Italy,Cameroon,0,Friendly
8,2010-03-03,Mexico,New Zealand,1,Friendly
9,2010-03-03,Netherlands,USA,1,Friendly
10,2010-03-03,Bulgaria,Poland,0,Friendly
11,2010-03-03,Portugal,China,1,Friendly
12,2010-03-03,Czech Republic,Scotland,0,Friendly
13,2010-03-03,Uruguay,Switzerland,1,Friendly
14,2010-03-31,Paraguay,South Africa,0,Friendly
15,2010-05-07,Mexico,Ecuador,0,Friendly
16,2010-05-16,Ecuador,Korea Republic,0,Friendly
17,2010-05-19,Croatia,Austria,1,Friendly
18,2010-05-19,Belgium,Bulgaria,1,Friendly
19,2010-05-22,Turkey,Czech Republic,1,Friendly
20,2010-05-24,Australia,New Zealand,1,Friendly
21,2010-05-24,England,Mexico,1,Friendly
22,2010-05-24,Bulgaria,South Africa,0,Friendly
23,2010-05-25,Ireland,Paraguay,1,Friendly
24,2010-05-25,Czech Republic,USA,1,Friendly
25,2010-05-26,Netherlands,Mexico,1,Friendly
26,2010-05-26,Turkey,Northern Ireland,1,Friendly
27,2010-05-29,Germany,Hungary,1,Friendly
28,2010-05-29,Poland,Finland,0,Friendly
29,2010-05-29,Ukraine,Romania,1,Friendly
30,2010-05-29,Turkey,USA,0,Friendly
31,2010-06-01,Australia,Denmark,1,Friendly
32,2010-06-01,Portugal,Cameroon,1,Friendly
33,2010-06-02,Greece,Paraguay,0,Friendly
34,2010-06-02,Ukraine,Norway,1,Friendly
35,2010-06-03,Italy,Mexico,0,Friendly
36,2010-06-03,Spain,Korea Republic,1,Friendly
37,2010-06-04,France,China,0,Friendly
38,2010-06-04,Slovenia,New Zealand,1,Friendly
39,2010-06-05,Australia,USA,0,Friendly
40,2010-06-05,Netherlands,Hungary,1,Friendly
41,2010-06-05,Denmark,South Africa,0,Friendly
42,2010-06-05,Italy,Switzerland,0,Friendly
43,2010-06-08,Spain,Poland,1,Friendly
44,2010-06-11,Mexico,South Africa,0,FIFA World Cup
45,2010-06-11,France,Uruguay,0,FIFA World Cup
46,2010-06-12,England,USA,0,FIFA World Cup
47,2010-06-12,Greece,Korea Republic,0,FIFA World Cup
48,2010-06-13,Germany,Australia,1,FIFA World Cup
49,2010-06-14,Italy,Paraguay,0,FIFA World Cup
50,2010-06-14,Netherlands,Denmark,1,FIFA World Cup
51,2010-06-16,Uruguay,South Africa,1,FIFA World Cup
52,2010-06-16,Spain,Switzerland,0,FIFA World Cup
53,2010-06-17,Argentina,Korea Republic,1,FIFA World Cup
54,2010-06-17,France,Mexico,0,FIFA World Cup
55,2010-06-18,USA,Slovenia,0,FIFA World Cup
56,2010-06-19,Cameroon,Denmark,0,FIFA World Cup
57,2010-06-20,Italy,New Zealand,0,FIFA World Cup
58,2010-06-22,Argentina,Greece,1,FIFA World Cup
59,2010-06-22,Uruguay,Mexico,1,FIFA World Cup
60,2010-06-22,France,South Africa,0,FIFA World Cup
61,2010-06-23,England,Slovenia,1,FIFA World Cup
62,2010-06-24,Netherlands,Cameroon,1,FIFA World Cup
63,2010-06-24,Paraguay,New Zealand,0,FIFA World Cup
64,2010-06-25,Brazil,Portugal,0,FIFA World Cup
65,2010-06-26,Uruguay,Korea Republic,1,FIFA World Cup
66,2010-06-27,Argentina,Mexico,1,FIFA World Cup
67,2010-06-27,England,Germany,0,FIFA World Cup
68,2010-06-29,Spain,Portugal,1,FIFA World Cup
69,2010-07-02,Brazil,Netherlands,0,FIFA World Cup
70,2010-07-03,Argentina,Germany,0,FIFA World Cup
71,2010-07-03,Spain,Paraguay,1,FIFA World Cup
72,2010-07-06,Netherlands,Uruguay,1,FIFA World Cup
73,2010-07-07,Spain,Germany,1,FIFA World Cup
74,2010-07-10,Germany,Uruguay,1,FIFA World Cup
75,2010-07-11,Spain,Netherlands,1,FIFA World Cup
76,2010-08-10,Brazil,USA,1,Friendly
77,2010-08-11,Switzerland,Austria,1,Friendly
78,2010-08-11,Germany,Denmark,0,Friendly
79,2010-08-11,England,Hungary,1,Friendly
80,2010-08-11,Belgium,Finland,0,Friendly
81,2010-08-11,Argentina,Ireland,1,Friendly
82,2010-08-11,Spain,Mexico,0,Friendly
83,2010-08-11,France,Norway,0,Friendly
84,2010-08-11,Cameroon,Poland,1,Friendly
85,2010-08-11,Russia,Bulgaria,1,Friendly
86,2010-08-11,Australia,Slovenia,0,Friendly
87,2010-08-11,Sweden,Scotland,1,Friendly
88,2010-08-11,Turkey,Romania,1,Friendly
89,2010-08-11,Netherlands,Ukraine,0,Friendly
90,2010-09-03,Germany,Belgium,1,UEFA Euro qualification
91,2010-09-03,England,Bulgaria,1,UEFA Euro qualification
92,2010-09-03,Northern Ireland,Slovenia,1,UEFA Euro qualification
93,2010-09-03,Sweden,Hungary,1,UEFA Euro qualification
94,2010-09-03,Switzerland,Australia,0,Friendly
95,2010-09-04,Mexico,Ecuador,0,Friendly
